"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000175832",514.155157165084,4.8252481352492,0.215824868761407,22.3572388248894,1.02671468654878e-110,3.33826013184472e-106
"ENSG00000167767",158.632298196557,4.76897011228721,0.222825763815021,21.4022383706319,1.27345354753432e-101,2.07025343222655e-97
"ENSG00000129474",137.212701196447,3.27281258707377,0.166355753388231,19.6735761788525,3.63236233883226e-86,3.9367543028264e-82
"ENSG00000062038",292.539386758801,4.46541407530884,0.230569485916357,19.3668908856775,1.46862493170208e-83,1.19377177573404e-79
"ENSG00000071539",138.762420945058,3.10641394150209,0.16478602627343,18.8511975909146,2.8726495246453e-79,1.86802653288634e-75
"ENSG00000011426",214.161618191456,3.46247871899093,0.185796523411152,18.6358638763588,1.64477361548754e-77,8.91302822232696e-74
"ENSG00000137673",358.60396164287,6.11339974692298,0.334067451985448,18.299896355031,8.29064528109796e-75,3.85088629528027e-71
"ENSG00000103888",502.765312312654,3.87726916962493,0.213074926362674,18.1967406292819,5.47712704086249e-74,2.22604135758254e-70
"ENSG00000156802",270.06112653712,2.49999135844487,0.138296049112808,18.07709890834,4.82825441774473e-73,1.74428737931725e-69
"ENSG00000130826",764.824669139078,2.2399985405689,0.124063030817614,18.0553266013784,7.16369560291022e-73,2.32920398833023e-69
"ENSG00000236081",55.9017166322771,5.03928109261816,0.282142641414271,17.8607567695482,2.38385178426729e-71,7.04623244669698e-68
"ENSG00000115386",1822.50742215952,7.08703327446599,0.398589057693133,17.7803006321418,1.00439985253981e-70,2.72142140045661e-67
"ENSG00000139292",321.880377358088,4.15667931128039,0.234533032372224,17.7232148036332,2.77585745536979e-70,6.94263302337641e-67
"ENSG00000111110",187.679886720584,2.68884942116535,0.152160123009041,17.6711832771427,6.99148928116279e-70,1.62372344634091e-66
"ENSG00000091127",148.317883618518,2.65971086162772,0.150972682427197,17.6171663566374,1.81890485162037e-69,3.94265815637232e-66
"ENSG00000163347",262.214196619035,4.55145709088109,0.258676169408945,17.5951928671312,2.68141307682443e-69,5.44896654874184e-66
"ENSG00000173473",783.426066249106,1.47011800633653,0.0841573578577763,17.4686806211405,2.48167428748635e-68,4.7464210460783e-65
"ENSG00000254166",248.197205092691,4.3819601079279,0.252005173446241,17.3883736115548,1.01061514196397e-67,1.82550781810092e-64
"ENSG00000162104",537.682527695079,-1.70974832661263,0.0986463929449286,-17.3320916819243,2.69351606884203e-67,4.60931481380684e-64
"ENSG00000120254",266.191593331292,2.62737791226063,0.151723466289097,17.3168856243659,3.50838763026895e-67,5.70358577052823e-64
"ENSG00000123975",210.672457750073,2.63238331923295,0.15231011750068,17.2830496255194,6.31205462386289e-67,9.70603614346198e-64
"ENSG00000149968",368.320256898606,5.34087136489035,0.309064567254661,17.2807624385154,6.56741081245505e-67,9.70603614346198e-64
"ENSG00000144354",749.235718963918,2.97664122279382,0.172387362848493,17.2671660706935,8.31253608081461e-67,1.17510347013742e-63
"ENSG00000128050",743.881062642206,2.20897310845288,0.12811566673961,17.242021718878,1.28464557044939e-66,1.74037358656631e-63
"ENSG00000104738",841.502408521704,2.35337178838529,0.136618636395163,17.2258474427916,1.69920683234543e-66,2.20992043787517e-63
"ENSG00000088325",553.974998635178,3.34010315863476,0.194081323880553,17.2098123191412,2.24157049445299e-66,2.80317011756325e-63
"ENSG00000060718",85.669579120637,5.01721933661697,0.292065631472993,17.1783968942642,3.85415498733855e-66,4.64125908364169e-63
"ENSG00000159263",112.254859441335,5.86010011619157,0.341644675139511,17.1526165709991,6.00850484225215e-66,6.97716165860665e-63
"ENSG00000133119",126.260637969912,2.77736930928349,0.162207250252658,17.1223499871763,1.0110993438231e-65,1.13361669189877e-62
"ENSG00000114346",324.412760077937,2.46943911749194,0.144240659974255,17.1202705113295,1.0478727846321e-65,1.13494096237259e-62
"ENSG00000124207",726.108128065987,2.26064823501045,0.132059553998403,17.1183997413605,1.0820929394584e-65,1.13494096237259e-62
"ENSG00000149554",134.984839888663,2.30029322758755,0.134559740294851,17.0949588825534,1.61810124959064e-65,1.64409200091219e-62
"ENSG00000135069",182.412301743984,3.2857206689169,0.19306058503387,17.0191169178342,5.92576023263889e-65,5.83848994557639e-62
"ENSG00000245694",56.0546317846,3.78716983476338,0.223049669561975,16.979042570207,1.17385397170378e-64,1.12254964811697e-61
"ENSG00000006704",478.135795475606,2.54669360392843,0.150227069670696,16.9522950125492,1.85085618246675e-64,1.7193925119064e-61
"ENSG00000249859",243.189244573128,2.84881852001555,0.168312935393261,16.9257253660232,2.90743034210376e-64,2.62589417064338e-61
"ENSG00000091651",128.991421696317,2.55739061418497,0.151430071130784,16.8882613280705,5.48970510300465e-64,4.82411545186739e-61
"ENSG00000122778",111.48566887783,2.82365616783915,0.167623916118456,16.8451867324454,1.13809173028432e-63,9.73787224170119e-61
"ENSG00000196584",60.699300115495,3.09058651949432,0.183595895368,16.8336362493264,1.38339059984019e-63,1.15332210162062e-60
"ENSG00000122641",138.941844150545,4.29591027869091,0.256242020392185,16.7650499793746,4.39644373464429e-63,3.57364928970561e-60
"ENSG00000167074",310.594265602873,-1.70973493425783,0.102132302060557,-16.7403935852153,6.65467198386914e-63,5.27731719228101e-60
"ENSG00000117650",96.5719934159455,2.78586484248036,0.166441047124839,16.7378473676077,6.94548390259663e-63,5.37679675259588e-60
"ENSG00000159259",79.8186909049245,2.19057873056379,0.130982629234224,16.7241926915866,8.73518137925487e-63,6.60501598523472e-60
"ENSG00000161800",269.762524295677,2.12951569355266,0.127572136392237,16.6926395824021,1.4826799945114e-62,1.09563312139872e-59
"ENSG00000105948",34.216170829278,2.40746596733709,0.144365420586845,16.6761954320553,1.95265692215293e-62,1.40162178131277e-59
"ENSG00000183856",666.288130058634,2.9450877488674,0.176614047547703,16.6752746441188,1.98297969921841e-62,1.40162178131277e-59
"ENSG00000082641",3831.34201514197,-1.32446770559802,0.0794364920787841,-16.673290460566,2.04992581545553e-62,1.41811250986641e-59
"ENSG00000183734",1511.75513503078,3.85813718909237,0.231755232342088,16.64746530252,3.15692868041471e-62,2.13842456489592e-59
"ENSG00000124571",441.016653625076,1.63567197421041,0.0986939255223964,16.573177787312,1.08914672653766e-61,7.22704421768277e-59
"ENSG00000178773",802.968819608772,4.84686775731513,0.292550200135096,16.5676446472329,1.19412357257039e-61,7.76514676771072e-59
"ENSG00000102384",67.7272852609461,2.71530079138157,0.164030902977895,16.5535929028415,1.50826579698631e-61,9.61563806337509e-59
"ENSG00000101444",1667.18626848937,2.05098626646783,0.124201329492397,16.5134002578723,2.93849922902255e-61,1.8373531525469e-58
"ENSG00000163032",100.197760900271,3.47353132471675,0.210477424193779,16.5031063926305,3.48494333396387e-61,2.13791410491512e-58
"ENSG00000125630",249.793838208298,1.81898873422956,0.110511449184969,16.4597310744249,7.14170332394609e-61,4.3000989236071e-58
"ENSG00000173898",322.66648097532,3.07905082837924,0.188003755878416,16.377602745184,2.76425068224329e-60,1.63412448513561e-57
"ENSG00000162063",152.225626895329,2.3302612706056,0.142318486886522,16.3735669313548,2.9538312524217e-60,1.7150155239507e-57
"ENSG00000206053",704.562159877692,1.40055150915783,0.0855881191834899,16.3638542652775,3.46487271198642e-60,1.97643633960572e-57
"ENSG00000165816",234.324523167624,3.7198151829149,0.227870078016798,16.3242809906822,6.63174282007557e-60,3.7176635526196e-57
"ENSG00000184428",498.14807948366,2.46363952493265,0.151006808449002,16.3147579253996,7.75128568090731e-60,4.27161529879695e-57
"ENSG00000100526",83.134918304773,2.8006326947301,0.171774281945246,16.3041443865434,9.22212671377231e-60,4.99747046619321e-57
"ENSG00000165480",102.413536445453,3.35579953403789,0.206111912399486,16.2814438766338,1.3367727268331e-59,7.12521777709042e-57
"ENSG00000146670",272.235810309797,2.77928521618096,0.170770908284115,16.2749337349486,1.48680359734976e-59,7.73700277856079e-57
"ENSG00000128059",90.6858421196685,2.3323930019089,0.143316436650839,16.2744278075465,1.49914244648253e-59,7.73700277856079e-57
"ENSG00000184292",277.516266434231,4.65117915330987,0.286053098775531,16.259845368638,1.90217420935413e-59,9.66363941295939e-57
"ENSG00000111602",356.623371285464,1.78395465305338,0.109739601875821,16.2562522786629,2.0170449558897e-59,1.00895691839689e-56
"ENSG00000012048",142.305400645582,2.20977725304562,0.135981239571013,16.250603833418,2.21175227590096e-59,1.0895895984643e-56
"ENSG00000164934",291.445974749449,1.9778479351594,0.121727430900426,16.2481695418126,2.30133531540711e-59,1.11680024544995e-56
"ENSG00000160712",624.795291214793,-2.42663669952401,0.149658228017632,-16.2145224600556,3.98160289699593e-59,1.90379171460185e-56
"ENSG00000172164",285.892141820446,2.68501454775966,0.165681981085137,16.2058331882206,4.58628877571918e-59,2.1611390326628e-56
"ENSG00000136982",60.2411086799904,2.95831676904999,0.182794837247551,16.1838092015896,6.56068776103895e-59,3.04734574089172e-56
"ENSG00000123500",40.373975056187,5.95118406547305,0.368101095368585,16.1672544318675,8.5839433946985e-59,3.93096247232714e-56
"ENSG00000059588",617.160275284194,1.58991237334693,0.0983577918928516,16.1645797729878,8.9647115608103e-59,4.01422406341107e-56
"ENSG00000172023",235.777379111526,6.87808217433445,0.425511966628727,16.1642508642672,9.01268243307523e-59,4.01422406341107e-56
"ENSG00000025772",505.466849822795,2.06608818823745,0.127850859707965,16.1601430992077,9.63377835860597e-59,4.23287391286101e-56
"ENSG00000077152",114.213896688972,2.5172031550499,0.155841480839942,16.1523308267021,1.09350402717504e-58,4.74055865860923e-56
"ENSG00000137868",58.4495723487956,4.12338559023216,0.255419147975044,16.1436040442631,1.25966196209925e-58,5.38903276785461e-56
"ENSG00000175063",490.23855282033,3.1070362233351,0.192782126129832,16.116827247992,1.94333664731701e-58,8.20592827933313e-56
"ENSG00000109084",225.654065800281,2.52440923351771,0.156647800708002,16.1151910343339,1.99546361403285e-58,8.31801332649539e-56
"ENSG00000107159",201.568487465992,5.69061776788221,0.353224189374582,16.1104984852765,2.1528138517134e-58,8.86032779425438e-56
"ENSG00000148019",136.498536279033,1.64145706380679,0.102034158655762,16.0873288458689,3.13055431671749e-58,1.27233553817191e-55
"ENSG00000165490",41.213993870724,3.05524095337384,0.189925417494945,16.0865301425764,3.17119358776477e-58,1.27294059645165e-55
"ENSG00000172031",21.1320940547288,4.23797883179448,0.263985672868439,16.0538213522919,5.3750289412502e-58,2.13126452433913e-55
"ENSG00000146918",200.993800896585,2.15376965222986,0.134197962071104,16.0491979087484,5.79075714779285e-58,2.26844190244984e-55
"ENSG00000164109",149.810209293766,2.67576227523942,0.166911160078166,16.0310567249448,7.75526766490464e-58,3.00184253400845e-55
"ENSG00000184575",523.526333437793,1.67318482490282,0.104468318749425,16.01619366457,9.84981726332521e-58,3.76772892352654e-55
"ENSG00000112118",899.46022543164,1.8249803988283,0.113962561274589,16.0138590991394,1.02265337255365e-57,3.86634322734995e-55
"ENSG00000251026",5.11747313804785,5.34310698768904,0.333770228908483,16.0083390455836,1.11753441685695e-57,4.17649586548127e-55
"ENSG00000101003",126.016944000263,2.83431820884759,0.17718353059071,15.996510507485,1.35140344919668e-57,4.99312860763419e-55
"ENSG00000204869",18.9239983161713,5.07620935071912,0.318364531377955,15.9446447402546,3.10400282086866e-57,1.13397244626656e-54
"ENSG00000253729",1224.47750314523,2.10273134971226,0.13195958745277,15.9346614391686,3.64167721830073e-57,1.30924744364194e-54
"ENSG00000100412",1755.53624587167,-1.37295473216014,0.086163619846651,-15.9342740544519,3.66431436831569e-57,1.30924744364194e-54
"ENSG00000134827",45.1473091490822,5.650787151151,0.354996743937696,15.9178562836135,4.76422382078754e-57,1.68373884031615e-54
"ENSG00000124766",899.310665805513,1.80120601841956,0.113204536960166,15.9110762411702,5.30929001560883e-57,1.85619629642479e-54
"ENSG00000132341",1875.66827442022,1.33583384428689,0.0840099356641477,15.9009030744559,6.24578618425105e-57,2.16037757441211e-54
"ENSG00000171617",1139.86962991669,1.9541656284017,0.122960726188225,15.8925999299184,7.13076351837509e-57,2.44052257933103e-54
"ENSG00000183248",89.6924462275606,3.64543285167102,0.229480483278268,15.8855899185578,7.97441910078439e-57,2.70083606919691e-54
"ENSG00000156030",1205.90050285268,-1.58049853755286,0.0995306787280943,-15.8795112999339,8.78602614262264e-57,2.94503973197147e-54
"ENSG00000254726",88.0043775825206,3.06914079783363,0.193758306970109,15.8400475614555,1.64696220747159e-56,5.46421726670728e-54
"ENSG00000142945",194.2419216359,2.6541686993446,0.167670216571168,15.8296968514861,1.9415434062114e-56,6.37649922318764e-54
"ENSG00000129451",205.225578232456,5.04539078552096,0.318901841323881,15.8211403376527,2.22427292683963e-56,7.23200099432637e-54
"ENSG00000109881",118.533899564009,1.71625691059414,0.108577487215731,15.8067473709732,2.79530901773754e-56,8.9986809309622e-54
"ENSG00000136875",291.514984120587,1.18703869813662,0.0752357139048855,15.7775959916762,4.43770642463172e-56,1.41458418323996e-53
"ENSG00000163655",352.395483273985,1.40616304137342,0.0891709804338987,15.7692899027368,5.06156502285679e-56,1.59778373935112e-53
"ENSG00000090889",157.026735668117,2.81075677129812,0.178317478709173,15.7626542930339,5.62212736732057e-56,1.75767162712559e-53
"ENSG00000145604",155.791170137624,1.82551943627135,0.11582105114178,15.7615512747909,5.7211248668997e-56,1.77158718021311e-53
"ENSG00000151503",328.176717566343,1.74926630760004,0.110995246869327,15.7598307759919,5.8790194820741e-56,1.80330603245431e-53
"ENSG00000172167",45.0812545580053,2.49344228400173,0.15833374265192,15.7480158192389,7.0870272122675e-56,2.1535289979408e-53
"ENSG00000163918",135.360706772178,1.78636521468063,0.113573813741611,15.728671564598,9.62084284014956e-56,2.89086956148084e-53
"ENSG00000139433",941.266884664883,-1.78366935685419,0.113405750293332,-15.7282091273202,9.69135702163412e-56,2.89086956148084e-53
"ENSG00000138180",143.797422543289,2.88700252235686,0.183737728402048,15.7126277083367,1.2393401327903e-55,3.66326409795853e-53
"ENSG00000140534",110.56772004146,2.60466266798333,0.165805898605631,15.70910739538,1.31010665039435e-55,3.83755023701999e-53
"ENSG00000136108",187.275281501186,2.40318829615274,0.153043100370695,15.7026895713157,1.44963473368001e-55,4.20834140454212e-53
"ENSG00000146263",93.1409076271877,2.08049993856722,0.13274852759223,15.6724897541461,2.33260040302412e-55,6.71169641627665e-53
"ENSG00000130713",259.864878802727,1.60141984166964,0.10229774279478,15.6544983097257,3.09544608035816e-55,8.82853805761097e-53
"ENSG00000146731",1367.34403785903,1.57910180028804,0.100951971636266,15.6421095565881,3.76060692617659e-55,1.0632380312844e-52
