"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015711","organic anion transport","182/4672","469/18805",0.388059701492537,1.56195691065222,7.08592410367346,9.63936323363121e-12,3.2859857688158e-08,2.59584222929017e-08,"CPTP/SLC2A7/SLC2A5/PLA2G2A/PLA2G5/PLA2G2D/NR0B2/SLC6A9/BEST4/CPT2/CYB5RL/SLC35D1/ABCD3/SLC25A24/CRABP2/KCNJ10/ATP1A2/RGS4/ADCY10/PTGS2/SLC26A9/AVPR1B/CR1/KCNK1/SLC5A6/SLC1A4/FABP1/IL1A/ABCB11/SLC39A10/SLC11A1/SLC4A3/ERFE/AGXT/PPARG/SLC6A6/SLC6A20/SLC25A20/SLC38A3/CASR/SLCO2A1/RBP2/RBP1/SLC7A14/SLC51A/SLC4A4/ABCG2/MTTP/FABP2/SLC7A11/NPY5R/SLCO4C1/SLC12A2/SLC23A1/SLC4A9/SLC26A2/SLC6A7/SLC36A1/NMUR2/FABP6/SFXN1/SLC17A4/SLC17A1/SLC17A3/SLC44A4/PPARD/RHAG/SLC17A5/HTR1B/SLC16A10/SLC35D3/SLC22A2/SLC22A3/MPC1/TTYH3/CD36/ABCB1/SLC26A3/LEP/SLC4A2/SLC39A14/SLCO5A1/PMP2/FABP4/FABP12/SLC25A32/SLC1A1/APBA1/SLC35D2/SLC46A2/STXBP1/SLC25A25/AKR1C4/SLC39A12/SLC16A9/PLA2G12B/SLC16A12/ABCC2/SFXN2/CALHM3/DRD4/SLC25A22/ABCC8/SLC43A1/SLC22A11/CPT1A/FGF19/FOLR3/FOLR1/FOLR2/SLCO2B1/DRD2/SLC37A2/SLC6A12/PIANP/SLC2A14/SLCO1C1/SLCO1B3/SLCO1B3-SLCO1B7/SLCO1B1/SLCO1A2/ABCD2/SLC4A8/SLC6A15/SLC17A8/ACACB/GLTP/P2RX4/SLC7A1/SLC25A15/SLC10A2/SLC25A21/PSEN1/BDKRB2/SLC25A29/THBS1/PLA2G4F/SLC51B/ABAT/PLA2G10/ABCC1/CLN3/SLC7A5/TRPV1/SLC52A1/SLC13A5/SLC46A1/SLC13A2/G6PC1/SLC4A1/ABCC3/CA4/NHERF1/SLC25A19/SLC16A3/SYT4/ATP8B1/MFSD12/SLC25A23/LRRC8E/BEST2/GIPC1/SLC7A10/CEACAM1/SLC17A7/SLC27A5/SLC4A11/SLC32A1/SLC13A3/SLCO4A1/SLC17A9/SLC37A1/SLC19A1/SLC25A18/ADORA2A/PLA2G3/PPARA/CLTRN/SLC38A5/CLDN2/ACSL4/SLC6A8",182
"GO:0006261","DNA-templated DNA replication","80/4672","162/18805",0.493827160493827,1.98767546084898,7.25894038998783,1.20657204010683e-11,3.2859857688158e-08,2.59584222929017e-08,"CENPS/ORC1/CDC7/EXO1/MCM6/BARD1/TRAIP/POLQ/MCM2/ATR/RFC4/MCIDAS/MCM3/PRIM2/OOEP/MMS22L/FBXO5/POLD2/RFC2/DBF4/MCM7/ORC5/SSBP1/NUGGC/POLB/MCM4/NBN/TONSL/POLE3/MCM10/ZNF365/DNA2/NOC3L/TWNK/RRM1/E2F8/FEN1/POLA2/POLD4/MRE11/AICDA/DDX11/CDK2/TIMELESS/PRIM1/HELB/E2F7/RFC5/BRCA2/RFC3/DACH1/NYNRIN/FANCM/POLE2/WDHD1/RAD51/TIPIN/TICRR/BLM/ORC6/GINS3/CDT1/ATAD5/CDC6/BRCA1/DBF4B/EME1/RECQL5/TK1/WDR18/CCNE1/LIG1/POLD1/PCNA/MCM8/GINS1/DONSON/CDC45/MCM5/POLA1",80
"GO:0019730","antimicrobial humoral response","88/4672","185/18805",0.475675675675676,1.91461495742318,7.18776193028277,1.56079121381371e-11,3.2859857688158e-08,2.59584222929017e-08,"SPRR2A/PGLYRP3/PGLYRP4/S100A7/XCL2/POMC/REG3G/REG1B/REG1A/REG3A/IL36RN/SLC11A1/LTF/CAMP/TF/KNG1/JCHAIN/CXCL8/CXCL6/PF4V1/CXCL1/PF4/PPBP/CXCL5/CXCL3/CXCL2/CXCL9/CXCL10/CXCL11/CXCL13/FGB/FGA/CCL28/LEAP2/SPINK5/H2BC4/H2BC10/HLA-A/HLA-E/PGC/IL17A/IL17F/VIP/NPY/CCL26/CCL24/TAC1/PRSS2/DEFB1/DEFA6/DEFA5/DEFB4A/RPL30/PRSS3/CCL19/CCL21/CXCL12/ADM/CALCA/F2/MMP7/KRT6A/LYZ/RNASE3/RNASE7/CTSG/LGALS3/IGHA2/IGHA1/IGHG1/IGHM/B2M/NOD2/CCL7/CCL5/CCL16/CCL23/EVPL/ELANE/CCL25/LGALS4/RPS19/KLK7/SEMG1/WFDC10A/WFDC10B/H2BC12L/RPL39",88
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","69/4672","136/18805",0.507352941176471,2.0421173071112,7.01269407950458,6.52118020481459e-11,9.86362101143968e-08,7.79200086567515e-08,"PGLYRP3/PGLYRP4/S100A7/XCL2/POMC/REG3G/REG1B/REG1A/REG3A/LTF/CAMP/KNG1/CXCL8/CXCL6/PF4V1/CXCL1/PF4/PPBP/CXCL5/CXCL3/CXCL2/CXCL9/CXCL10/CXCL11/CXCL13/CCL28/LEAP2/SPINK5/H2BC4/H2BC10/PGC/IL17A/IL17F/VIP/NPY/CCL26/CCL24/TAC1/DEFB1/DEFA6/DEFA5/DEFB4A/RPL30/CCL19/CCL21/CXCL12/ADM/CALCA/F2/MMP7/KRT6A/RNASE3/RNASE7/LGALS3/B2M/NOD2/CCL7/CCL5/CCL16/CCL23/EVPL/ELANE/CCL25/LGALS4/RPS19/KLK7/SEMG1/H2BC12L/RPL39",69
"GO:0042391","regulation of membrane potential","177/4672","463/18805",0.382289416846652,1.53873126793692,6.74836699174431,7.80843968606687e-11,9.86362101143968e-08,7.79200086567515e-08,"GABRD/PRKCZ/PINK1/CNR2/SLC9A1/OPRD1/GRIK3/RIMS3/KCNA3/CASQ2/ATP1A1/GBA1/KCNJ10/KCNJ9/ATP1A2/ATP1A4/RGS4/ADCY10/MYOC/AGT/KCNK1/RYR2/KCNF1/FKBP1B/KCNK3/KCNG3/NRXN1/TACR1/KCNJ3/SCN1A/SCN9A/SCN7A/CHRNA1/SLC4A3/PID1/WNT7A/KCNH8/GPD1L/SCN11A/LTF/CACNA1D/IGSF11/POPDC2/CASR/TMEM108/ATP1B3/HTR3E/CLCN2/PHOX2B/GABRA2/GABRA4/GABRB1/SLC4A4/ANK2/USP53/NUP155/HCN1/KCTD16/GRIA1/GABRB2/KCNIP1/DRD1/GABBR1/KCNK5/SLC29A1/SLC25A27/CNR1/GRIK2/POPDC3/CCN6/AKAP7/PRKAR1B/GPER1/ABCB5/FZD9/STX1A/CD36/SRI/AKAP9/RELN/SLC26A3/NRCAM/MET/ADRA1A/PTK2B/KCNB2/KCNV1/KCNQ3/KCNK9/KCNV2/CDKN2A/GRIN3A/UCN3/ANK3/CTNNA3/STOX1/KCNIP2/ADRB1/DRD4/KCNQ1/KCNJ11/ABCC8/P2RX3/KCNE3/GRIA4/DRD2/HTR3A/SCN4B/SCN2B/KCNA6/KCNA5/GRIN2B/ABCC9/ASIC1/SLC4A8/KCNMB4/DCN/CUX2/P2RX4/P2RX2/SLC8A3/PSEN1/CHRNA7/B2M/HCN4/INSYN1/CHRNA5/TBC1D24/ABAT/GRIN2A/CLN3/CBLN1/CNGB1/WWP2/TRPV1/P2RX5/P2RX1/ATP1B2/SEZ6/SLC6A4/KCNH4/HCRT/MPP2/MAPT/SCN4A/PYCR1/DSC2/DSG2/SMAD7/NEDD4L/PMAIP1/NETO1/GNA11/BEST2/FXYD1/KCNK6/KCNN4/GRIN2D/KCNA7/TRPM4/MYH14/SLC4A11/RIMS4/KCNS1/KCNG1/CHRNA4/RTL10/P2RX6/CHCHD10/ADORA2A/NLGN4X/GLRA2/NDP/GRIA3/FHL1/FGF13/GABRA3",177
"GO:0006260","DNA replication","118/4672","280/18805",0.421428571428571,1.69626804060665,6.74894248804465,1.30292968897301e-10,1.37155065259225e-07,1.08348889925124e-07,"CENPS/ORC1/CDC7/S100A11/DTL/EXO1/UCN/MCM6/BARD1/CDC25A/TRAIP/POLQ/MCM2/RUVBL1/ATR/ACTL6A/RFC4/EREG/CCNA2/MCIDAS/CDKN1A/MCM3/PRIM2/OOEP/MMS22L/FBXO5/POLD2/EGFR/RFC2/DBF4/MCM7/DNAJC2/ORC5/SSBP1/ESCO2/NUGGC/POLB/MCM4/NBN/DSCC1/TOP1MT/TONSL/RECQL4/POLE3/SET/GTPBP4/MCM10/CDK1/ZNF365/DNA2/NOC3L/TWNK/ADRA2A/RRM1/E2F8/SSRP1/FAM111B/FEN1/POLA2/POLD4/MRE11/CHEK1/AICDA/DDX11/ACVRL1/CDK2/TIMELESS/PRIM1/HELB/NAP1L1/E2F7/RFC5/BRCA2/RFC3/DACH1/OBI1/SUPT16H/NYNRIN/FANCM/POLE2/WDHD1/RAD51/PCLAF/TIPIN/TICRR/BLM/CHTF18/RMI2/ORC6/GINS3/CDT1/TP53/ATAD5/CDC6/HCRT/BRCA1/DBF4B/EME1/RECQL5/TK1/WDR18/RNASEH2A/CCNE1/LIG1/RUVBL2/POLD1/PCNA/MCM8/DTD1/GINS1/PTK6/DONSON/CHAF1B/CDC45/MCM5/RBBP7/POLA1/JADE3",118
"GO:0006814","sodium ion transport","108/4672","252/18805",0.428571428571429,1.72501834637965,6.66195282998494,2.41770865741899e-10,1.91851053394043e-07,1.51557280271951e-07,"CLCNKB/SLC9A1/SLC6A9/PCSK9/MCOLN3/ATP1A1/ATP1A2/ATP1A4/AGT/KCNK1/OSR1/KCNK3/SLC5A6/ATP6V1B1/CNNM4/CNGA3/SLC9A4/SLC9A2/SLC5A7/SLC20A1/SCN1A/SCN9A/SCN7A/SERPINE2/SLC6A6/GPD1L/SCN11A/SLC6A20/SLC38A3/ATP1B3/SLC9A9/CNGA1/SLC4A4/EDNRA/SLC9A3/SLC6A19/SLC6A18/HCN1/SLC12A2/SLC22A4/SLC22A5/SLC23A1/SLC4A9/SLC6A7/SLC17A4/SLC17A1/SLC17A3/SGK1/CNKSR3/SLC13A1/SLC20A2/KCNK9/SLC24A2/SLC28A3/SLC34A3/FXYD4/ANK3/KCNQ1/KCNE3/DRD2/SCN4B/SCN2B/SLC6A12/SCNN1A/CNTN1/ASIC1/SLC4A8/SLC6A15/SLC17A8/TESC/P2RX4/ATP12A/SLC10A2/SLC8A3/CHP1/HCN4/GRIN2A/SCNN1G/SCNN1B/SLC5A11/PRSS8/SLC5A2/SLC12A3/CNGB1/TRPV3/SLC13A5/ATP1B2/PER1/SLC13A2/SLC6A4/SCN4A/NHERF1/NEDD4L/GRP/MCOLN1/FXYD3/FXYD1/FXYD5/SPTBN4/TRPM4/SLC6A16/SLC17A7/SLC4A11/SLC13A3/SLC9A7/SLC38A5/FGF13/SLC6A8",108
"GO:0035725","sodium ion transmembrane transport","87/4672","190/18805",0.457894736842105,1.84304591744773,6.71515232630324,2.43003234191314e-10,1.91851053394043e-07,1.51557280271951e-07,"SLC9A1/SLC6A9/PCSK9/MCOLN3/ATP1A1/ATP1A2/ATP1A4/AGT/KCNK1/OSR1/KCNK3/SLC5A6/CNNM4/CNGA3/SLC9A4/SLC9A2/SLC20A1/SCN1A/SCN9A/SCN7A/SLC6A6/SCN11A/SLC6A20/ATP1B3/SLC9A9/CNGA1/SLC4A4/SLC9A3/SLC6A19/SLC6A18/HCN1/SLC12A2/SLC23A1/SLC4A9/SLC6A7/SLC17A4/SLC17A1/SLC17A3/SLC13A1/SLC20A2/KCNK9/SLC24A2/SLC28A3/SLC34A3/FXYD4/ANK3/SCN4B/SCN2B/SLC6A12/SCNN1A/ASIC1/SLC4A8/SLC6A15/SLC17A8/TESC/ATP12A/SLC8A3/CHP1/HCN4/GRIN2A/SCNN1G/SCNN1B/SLC5A11/SLC5A2/SLC12A3/CNGB1/TRPV3/SLC13A5/ATP1B2/SLC13A2/SLC6A4/SCN4A/NEDD4L/GRP/MCOLN1/FXYD3/FXYD1/FXYD5/TRPM4/SLC6A16/SLC17A7/SLC4A11/SLC13A3/SLC9A7/SLC38A5/FGF13/SLC6A8",87
"GO:0046883","regulation of hormone secretion","111/4672","262/18805",0.423664122137405,1.70526622790965,6.60956827720597,3.13573729058351e-10,2.20059074748061e-07,1.73840874355156e-07,"C1QTNF12/NR0B2/BMP8A/KISS1/AGT/CHRM3/SOX11/VSNL1/FKBP1B/POMC/UCN/TACR1/VAMP8/ECRG4/INHBB/ACVR1C/GCG/NEUROD1/KLF7/ABCA12/PPARG/FAM3D/ILDR1/CASR/ADCY5/FOXL2/AGTR1/P2RY1/ADIPOQ/ADRA2C/NKX6-1/SPP1/FGB/FGA/NDUFAF2/F2RL2/F2RL1/CRHBP/SPINK1/BMP6/SOX4/HLA-DRB1/PPARD/CNR1/RFX6/MYB/GPER1/GHRHR/INHBA/EGFR/STX1A/SRI/TFR2/LEP/BLK/RAB11FIP1/SFRP1/OPRK1/SLC30A8/KCNK9/UCN3/FFAR4/RBP4/ADRA2A/TCF7L2/SLC25A22/BRSK2/BMAL1/KCNJ11/ABCC8/CRY2/F2/GAL/CPT1A/ANO1/DRD2/SIDT2/C2CD2L/FGF23/KCNA5/PFKM/NR1H4/PDX1/FOXO1/PCK2/CHGA/TUNAR/CYP19A1/SSTR5/ABAT/PRKCB/GNAO1/RASL10B/CCL5/GRP/GALR1/MIDN/GNA11/SIRT6/FFAR1/GIPR/TRPM4/IL11/PLCB1/FOXA2/HNF4A/EDN3/LIF/PLA2G3/SYTL4/ACSL4",111
"GO:0015849","organic acid transport","142/4672","361/18805",0.393351800554017,1.58325783592001,6.43348044383902,6.26402786170412e-10,3.95635999745232e-07,3.12542021731342e-07,"PLA2G2A/PLA2G5/PLA2G2D/NR0B2/SLC6A9/CPT2/SLC35D1/ABCD3/CRABP2/KCNJ10/ATP1A2/RGS4/PTGS2/SLC26A9/AVPR1B/KCNK1/SLC5A6/SLC1A4/FABP1/IL1A/ABCB11/SLC11A1/ERFE/AGXT/PPARG/SLC6A6/SLC6A20/SLC25A20/SLC38A3/CASR/SLCO2A1/RBP2/RBP1/SLC7A14/SLC51A/ABCG2/FABP2/SLC7A11/NPY5R/SLC12A2/SLC23A1/SLC26A2/SLC6A7/SLC36A1/NMUR2/FABP6/SFXN1/PPARD/SLC17A5/HTR1B/SLC16A10/SLC22A2/SLC22A3/MPC1/TTYH3/SLC29A4/CD36/ABCB1/SLC26A3/LEP/PMP2/FABP4/FABP12/SLC25A32/SLC1A1/APBA1/SLC35D2/STXBP1/AKR1C4/SLC16A9/PLA2G12B/SLC16A12/ABCC2/SFXN2/DRD4/SLC25A22/ABCC8/SLC43A1/SLC22A11/CPT1A/FGF19/FOLR3/FOLR1/FOLR2/SLCO2B1/DRD2/SLC6A12/PIANP/SLCO1C1/SLCO1B3/SLCO1B3-SLCO1B7/SLCO1B1/SLCO1A2/ABCD2/SLC6A15/SLC17A8/ACACB/P2RX4/SLC7A1/SLC25A15/SLC10A2/SLC25A21/PSEN1/BDKRB2/SLC25A29/THBS1/PLA2G4F/SLC51B/ABAT/PLA2G10/ABCC1/CLN3/SLC7A5/TRPV1/SLC13A5/SLC46A1/SLC13A2/ABCC3/NHERF1/SLC16A3/SYT4/ATP8B1/MFSD12/LRRC8E/GIPC1/SLC7A10/CEACAM1/SLC17A7/SLC27A5/SLC32A1/SLC13A3/SLCO4A1/SLC19A1/SLC25A18/ADORA2A/PLA2G3/PPARA/CLTRN/SLC38A5/CLDN2/ACSL4/SLC6A8",142
