"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016324","apical plasma membrane","207/4945","413/19880",0.501210653753027,2.0149783208514,11.993890481591,5.9232942798464e-29,4.47208718128403e-26,3.67867750011513e-26,"PRKCZ/SLC2A7/SLC2A5/PDPN/SLC9A1/SLC6A9/CLCA4/ATP1A1/PDZK1/IL6R/ADCY10/PAPPA2/ASPM/KISS1/SLC26A9/KCNK1/SLC5A6/PLB1/ABCG5/ABCG8/EPCAM/ATP6V1B1/MAL/SLC9A4/SLC9A2/ECRG4/LCT/DPP4/ABCB11/CYBRD1/SLC39A10/IGFBP2/RAB17/OXTR/SLC6A6/SLC6A20/CRIPTO/PTH1R/SLC38A3/CASR/MUC13/TF/ATP1B3/P2RY1/SI/PLD1/CLDN1/LRRC15/MUC20/SHROOM3/PRKG2/ABCG2/ANK2/SLC9A3/SLC6A19/SLC6A18/PLPP1/TMEM174/F2RL2/SLC12A2/SLC22A4/SLC22A5/SHROOM1/SLC23A1/SLC26A2/SLC36A1/GABRP/CDHR2/RIPOR2/SLC17A4/SLC17A1/SLC17A3/SLC44A4/LHFPL5/SLC29A1/CLIC5/PKHD1/SLC17A5/AKAP7/ENPP3/CNKSR3/EZR/SLC22A2/SLC22A3/FRMD1/SLC29A4/ABCB5/NPC1L1/EGFR/CLDN4/CD36/ABCB1/MUC17/SLC26A3/SLC13A1/PODXL/ATP6V0A4/MGAM/SLC4A2/SLC39A14/STC1/FZD3/NRG1/SLC20A2/ATP6V0D2/ANXA13/GPIHBP1/SLC1A1/CNTFR/TRPM6/NOTCH1/SAPCD2/SLC34A3/ABCC2/CDHR5/KCNQ1/SLC67A1/OTOG/CD44/SLC43A1/STX3/CBLIF/SLC22A11/NAALADL1/SPTBN2/ANO1/FOLR1/SLCO2B1/IL10RA/UPK2/C2CD2L/NHERF4/THY1/KCNA5/SCNN1A/PTPRO/SLCO1A2/SLC2A13/PFKM/AQP2/AQP5/AQP6/SLC11A2/SLC4A8/MYO1A/TRPV4/HVCN1/P2RX2/GJB6/ATP12A/SLC7A1/SLC15A1/SLC10A2/PALS1/ITPK1/HSP90AA1/AMN/CA12/CIB1/ABCC1/GP2/SCNN1G/SCNN1B/SLC5A11/AQP8/SLC5A2/SLC12A3/ATP6V0D1/PARD6A/SLC7A5/DPEP1/ATP1B2/SLC47A2/SLC46A1/SLC13A2/CD300LG/CA4/NHERF1/SLC16A3/DSG1/DSG2/ATP8B1/NEDD4L/CRB3/ARHGEF18/CYP4F12/OCEL1/HPN/FXYD1/UPK1A/SIPA1L3/CEACAM7/CEACAM5/CEACAM1/CEACAM20/PTPRH/SLC4A11/SPEF1/IGSF5/SLC19A1/UPK3A/GPR143/NHS/ADGRG2/SHROOM4/P2RY4/SLC6A8",207
"GO:0045177","apical part of cell","227/4945","479/19880",0.473903966597077,1.90519936419614,11.5392541965,3.1904658492386e-27,1.20440085808757e-24,9.90723605816197e-25,"PRKCZ/SLC2A7/SLC2A5/PDPN/SLC9A1/SLC6A9/CLCA4/ATP1A1/PDZK1/IL6R/ADCY10/PAPPA2/ASPM/KISS1/SLC26A9/KCNK1/SLC5A6/PLB1/ABCG5/ABCG8/EPCAM/ATP6V1B1/FABP1/MAL/SLC9A4/SLC9A2/ECRG4/EDAR/MYO7B/LCT/DPP4/FAP/ABCB11/CYBRD1/SLC39A10/IGFBP2/RAB17/CHL1/OXTR/SLC6A6/SLC6A20/CRIPTO/PTH1R/SLC38A3/CASR/MUC13/TF/ATP1B3/P2RY1/SI/PLD1/CLDN1/LRRC15/MUC20/SHROOM3/PRKG2/ABCG2/ANK2/FABP2/SLC7A11/SLC9A3/SLC6A19/SLC6A18/PLPP1/TMEM174/F2RL2/HOMER1/SLC12A2/SLC22A4/SLC22A5/SHROOM1/SLC23A1/SLC4A9/SLC26A2/SLC36A1/GABRP/CDHR2/RIPOR2/SLC17A4/SLC17A1/SLC17A3/SLC44A4/LHFPL5/BYSL/SLC29A1/CLIC5/SLC25A27/PKHD1/SLC17A5/AKAP7/ENPP3/CNKSR3/EZR/SLC22A2/SLC22A3/FRMD1/SLC29A4/ABCB5/NPC1L1/EGFR/CLDN4/CD36/ABCB1/MUC17/SLC26A3/SLC13A1/PODXL/ATP6V0A4/MGAM/SLC4A2/SLC39A14/STC1/FZD3/NRG1/SLC20A2/CA2/ATP6V0D2/ANXA13/DNAAF11/GPIHBP1/SLC1A1/CNTFR/TRPM6/EPB41L4B/NOTCH1/SAPCD2/SLC34A3/ITGA8/FRMPD2/ABCC2/CDHR5/KCNQ1/SLC67A1/OTOG/CD44/SLC43A1/STX3/CBLIF/SLC22A11/NAALADL1/SPTBN2/ANO1/FOLR1/SLCO2B1/IL10RA/UPK2/C2CD2L/NHERF4/THY1/KCNA5/SCNN1A/PTPRO/SLCO1A2/SLC2A13/PFKM/AQP2/AQP5/AQP6/SLC11A2/SLC4A8/MYO1A/TRPV4/HVCN1/P2RX2/GJB6/ATP12A/SLC7A1/SLC15A1/SLC10A2/PALS1/ITPK1/HSP90AA1/AMN/CA12/CIB1/ABCC1/GP2/SCNN1G/SCNN1B/SLC5A11/AQP8/SLC5A2/SLC12A3/ATP6V0D1/PARD6A/SLC7A5/DPEP1/ATP1B2/SLC47A2/SPECC1/SLC46A1/SLC13A2/CD300LG/CA4/NHERF1/SLC16A3/MYL12B/DSG1/DSG2/MYO5B/ATP8B1/NEDD4L/CRB3/ARHGEF18/CYP4F12/OCEL1/HPN/FXYD1/UPK1A/SIPA1L3/CEACAM7/CEACAM5/CEACAM1/CEACAM20/PTPRH/SLC4A11/SPEF1/IGSF5/SLC19A1/UPK3A/GPR143/NHS/ADGRG2/SHROOM4/P2RY4/CETN2/SLC6A8",227
"GO:0019814","immunoglobulin complex","96/4945","172/19880",0.558139534883721,2.24384508665083,9.42729382133946,3.73774863522269e-18,9.40666739864376e-16,7.73779542028556e-16,"PIGR/IGKC/IGKJ1/IGKV4-1/IGKV5-2/IGKV3-7/IGKV1-8/IGKV1-9/IGKV1-12/IGKV1-13/IGKV1-16/IGKV6-21/IGKV2-24/IGKV1-27/IGKV2-28/IGKV2-29/IGKV2-30/IGKV2D-30/IGKV2D-29/IGKV2D-28/IGKV2D-24/IGKV6D-21/IGKV3D-20/IGKV1D-17/IGKV1D-13/IGKV1D-12/IGKV3D-11/JCHAIN/TRAV2/TRAV14DV4/TRAV19/TRDV1/TRAV38-2DV8/TRDV3/IGHA2/IGHA1/IGHG1/IGHM/IGHV6-1/IGHV4-4/IGHV7-4-1/IGHV2-5/IGHV3-7/IGHV3-64D/IGHV3-11/IGHV1-18/IGHV2-26/IGHV4-28/IGHV4-34/IGHV4-39/IGHV3-43/IGHV3-49/IGHV4-59/IGHV3-64/IGHV3-66/IGHV1-69/IGHV1-69D/IGHV3-72/IGHV3-73/IGHV3-74/IGHV7-81/CD79B/CD79A/IGLV4-69/IGLV8-61/IGLV4-60/IGLV6-57/IGLV10-54/IGLV1-51/IGLV1-50/IGLV5-48/IGLV1-47/IGLV7-46/IGLV5-45/IGLV1-44/IGLV7-43/IGLV1-40/IGLV1-36/IGLV2-33/IGLV3-27/IGLV2-23/IGLV3-19/IGLV2-18/IGLV2-14/IGLV3-12/IGLV2-11/IGLV3-10/IGLV2-8/IGLV4-3/IGLL5/IGLC2/IGLC3/IGLC6/IGLC7/IGLL1/VPREB3",96
"GO:0009897","external side of plasma membrane","172/4945","401/19880",0.428927680798005,1.72438469044779,8.43210337042978,1.29513639623836e-15,2.4445699478999e-13,2.01086966784376e-13,"TNFRSF14/ECE1/FCN3/PCSK9/IL23R/CD2/VTCN1/IL6R/FCRL5/FCRL4/FCRL3/FCRL2/FCRL1/CD1D/CD1C/FCER1A/FCRL6/SLAMF9/SLAMF1/SLAMF7/LY9/CD244/FCGR3A/FCRLA/SELE/FASLG/ASTN1/CAPN2/CLEC4F/CD207/CD8A/LCT/KCNJ3/SLC4A3/TRPM8/CX3CR1/CCR8/ACKR2/CCR9/CCR3/CCR2/ALCAM/HHLA2/CXCL9/CXCL10/ABCG2/FGB/FGA/LIFR/GHR/ITGA2/GFRA3/CD14/GRIA1/BTNL8/BTNL3/HLA-G/HLA-H/HLA-A/HLA-E/HLA-C/HLA-B/MICA/HLA-DRB1/PKHD1/IL17A/ENPP3/RAET1E/RAET1G/ULBP2/ULBP1/RAET1L/ULBP3/TRGC2/TRGC1/TRGV10/TRGV9/TRGV8/TRGV5/TRGV4/TRGV3/TRGV2/TRGV1/CD36/ABCB1/AZGP1/TFR2/MUC17/NRCAM/GFRA2/GPIHBP1/SLC1A1/B4GALT1/CNTFR/ITGA8/CXCL12/PLAU/FGF8/GFRA1/F2/RTN4RL2/MS4A1/SLC22A11/FOLR3/FOLR1/FOLR2/IZUMO1R/TMEM123/NCAM1/CD3E/CD3D/CD3G/CXCR5/THY1/ST14/SCNN1A/CD27/CD163L1/CLEC6A/CLEC4E/KLRD1/KLRK1/KLRC4-KLRK1/KLRC4/KLRC3/KLRC1/STAB2/THBS1/B2M/ANPEP/GP2/SCNN1G/SCNN1B/IL4R/IL21R/CD19/SPN/ITGAL/SLC7A5/TRPV1/P2RX1/CLEC10A/ASGR1/ATP1B2/CCR7/CCR10/CA4/CD79B/CD226/INSR/FCER2/CD209/CLEC4M/CLEC17A/CRLF1/CD22/CD79A/FCGRT/LILRB1/CHRNA4/ABCG1/TCN2/CSF2RB/IL2RB/TNFRSF13C/SCUBE1/IL2RG/AMOT/IL13RA2/ENOX2/GPC4/CD40LG",172
"GO:0045178","basal part of cell","141/4945","317/19880",0.444794952681388,1.78817465304469,8.13977067013287,1.50002884903829e-14,2.26504356204782e-12,1.86319372827914e-12,"PDPN/CLCNKA/CLCNKB/SLC9A1/SLC6A9/PLPP3/TACSTD2/ATP1A1/RHBG/CD1D/KCNJ10/ADCY10/CHRM3/DTNB/SLC5A6/EPCAM/TGFA/ATP6V1B1/AQP7B/CNNM4/SLC9A4/FAP/RAB17/SLC6A6/PTH1R/SLC38A3/CASR/TF/SLCO2A1/ATP1B3/P2RY1/CLDN11/CLCN2/CLDN1/MUC20/SLC51A/SLC4A4/MTTP/ANK2/HPGD/NKD2/HCN1/ITGA2/ERBIN/SLCO4C1/SLC12A2/SLC22A4/SLC22A5/SLC23A1/SLC4A9/NEDD9/SLC29A1/DST/SLC17A5/SLC16A10/ENPP1/EZR/SLC22A2/SLC22A3/SLC29A4/EGFR/CLDN4/MET/ATP6V0A4/SLC4A2/SLC39A14/SLCO5A1/CDH17/ANXA13/GPIHBP1/B4GALT1/AQP7/CA9/FXYD4/FRMPD2/ANK3/SLC16A12/CNNM2/CALHM3/ADRA2A/KCNQ1/CD44/SLC22A11/FOLR1/KCNE3/SLCO2B1/PHLDB1/ST14/SLC6A12/PIANP/SLCO1C1/SLCO1B3/SLCO1B3-SLCO1B7/SLCO1B1/SLCO1A2/AQP2/AQP5/SLC11A2/SLC4A8/MYO1A/ATP2B1/SVOP/ATP12A/SLC7A1/HSP90AA1/CA12/SLC51B/ABCC1/AQP8/NOD2/CDH16/SLC7A5/MYO1C/CLDN7/SLC46A1/MYO1D/KRT14/CD300LG/SLC4A1/ABCC3/LPO/ABCA8/SLC16A3/BSG/PALM/BEST2/FXYD5/CEACAM5/CEACAM1/SLC27A5/SLC4A11/SPEF1/SLC13A3/AURKA/SLCO4A1/CLDN8/SLC19A1/SHROOM4/HEPH/P2RY4/VSIG1",141
"GO:0009925","basal plasma membrane","133/4945","298/19880",0.446308724832215,1.79426035382496,7.94914273380438,6.09709332342975e-14,7.67217576531577e-12,6.31102642249746e-12,"PDPN/CLCNKA/CLCNKB/SLC9A1/SLC6A9/PLPP3/TACSTD2/ATP1A1/RHBG/CD1D/KCNJ10/CHRM3/DTNB/SLC5A6/EPCAM/TGFA/ATP6V1B1/AQP7B/CNNM4/SLC9A4/RAB17/SLC6A6/PTH1R/SLC38A3/CASR/TF/SLCO2A1/ATP1B3/P2RY1/CLCN2/CLDN1/MUC20/SLC51A/SLC4A4/MTTP/ANK2/HPGD/NKD2/HCN1/ERBIN/SLCO4C1/SLC12A2/SLC22A4/SLC22A5/SLC23A1/SLC4A9/NEDD9/SLC29A1/DST/SLC17A5/SLC16A10/ENPP1/EZR/SLC22A2/SLC22A3/SLC29A4/EGFR/CLDN4/MET/ATP6V0A4/SLC4A2/SLC39A14/SLCO5A1/CDH17/ANXA13/GPIHBP1/B4GALT1/AQP7/CA9/FXYD4/FRMPD2/ANK3/SLC16A12/CNNM2/CALHM3/ADRA2A/KCNQ1/CD44/SLC22A11/FOLR1/SLCO2B1/ST14/SLC6A12/PIANP/SLCO1C1/SLCO1B3/SLCO1B3-SLCO1B7/SLCO1B1/SLCO1A2/AQP2/AQP5/SLC4A8/MYO1A/ATP2B1/SVOP/ATP12A/SLC7A1/HSP90AA1/CA12/SLC51B/ABCC1/AQP8/NOD2/CDH16/SLC7A5/MYO1C/CLDN7/SLC46A1/MYO1D/CD300LG/SLC4A1/ABCC3/LPO/ABCA8/SLC16A3/BSG/PALM/BEST2/FXYD5/CEACAM5/CEACAM1/SLC27A5/SLC4A11/SPEF1/SLC13A3/AURKA/SLCO4A1/CLDN8/SLC19A1/SHROOM4/HEPH/P2RY4/VSIG1",133
"GO:0016323","basolateral plasma membrane","117/4945","264/19880",0.443181818181818,1.78168949351963,7.35713648925945,3.4592927653487e-12,3.73109433976896e-10,3.06914696474546e-10,"PDPN/CLCNKA/CLCNKB/SLC9A1/SLC6A9/PLPP3/ATP1A1/RHBG/CD1D/KCNJ10/CHRM3/SLC5A6/EPCAM/TGFA/ATP6V1B1/AQP7B/CNNM4/SLC9A4/RAB17/SLC6A6/PTH1R/SLC38A3/CASR/SLCO2A1/ATP1B3/P2RY1/CLCN2/CLDN1/MUC20/SLC51A/SLC4A4/MTTP/ANK2/HPGD/NKD2/HCN1/ERBIN/SLCO4C1/SLC12A2/SLC4A9/NEDD9/SLC29A1/SLC17A5/SLC16A10/ENPP1/EZR/SLC22A2/SLC22A3/SLC29A4/EGFR/ATP6V0A4/SLC4A2/SLC39A14/SLCO5A1/CDH17/ANXA13/GPIHBP1/B4GALT1/AQP7/CA9/FXYD4/FRMPD2/ANK3/SLC16A12/CNNM2/CALHM3/ADRA2A/KCNQ1/CD44/FOLR1/SLCO2B1/ST14/SLC6A12/PIANP/SLCO1C1/SLCO1B3/SLCO1B3-SLCO1B7/SLCO1B1/SLCO1A2/AQP2/SLC4A8/MYO1A/ATP2B1/ATP12A/SLC7A1/HSP90AA1/CA12/SLC51B/ABCC1/AQP8/NOD2/CDH16/SLC7A5/CLDN7/SLC46A1/MYO1D/CD300LG/SLC4A1/ABCC3/LPO/ABCA8/SLC16A3/BSG/PALM/BEST2/FXYD5/CEACAM5/SLC4A11/SPEF1/SLC13A3/AURKA/SLCO4A1/CLDN8/SLC19A1/HEPH/P2RY4/VSIG1",117
"GO:0031253","cell projection membrane","143/4945","359/19880",0.398328690807799,1.60136994403621,6.61630799106171,2.19096959041014e-10,2.06772755094957e-08,1.70088428729208e-08,"GPR157/DHRS3/PDPN/OPRD1/HPCA/EFCAB7/EPS8L3/PDZK1/FCRL3/GPR37L1/KCNK1/CYS1/SLC5A6/PLB1/DPP4/FAP/CYBRD1/SLC6A6/FAM107A/ROBO2/GAP43/P2RY12/CLCN2/MUC20/PDE6B/EVC2/S100P/GABRA2/GABRA4/CNGA1/ABCG2/MTTP/SLC7A11/HHIP/SLC9A3/SLC6A19/SLC6A18/HCN1/SLC12A2/SLC22A5/PSD2/PDE6A/SLC26A2/GRIA1/DRD1/CLTB/CDHR2/RIPOR2/SLC17A4/SLC17A3/HLA-G/PACSIN1/FGD2/EZR/GPER1/FSCN1/EGFR/FZD9/CD36/SLC26A3/PODXL/ATP6V0A4/CNTNAP2/SLC20A2/TMEM67/PKHD1L1/RIGI/B4GALT1/CA9/TRPM6/SLC28A3/SLC34A3/ITGA8/FFAR4/CDHR5/EPS8L2/KCNJ11/CD44/PTPRJ/RASGRP2/TBC1D10C/FOLR1/RPS3/IZUMO1R/DRD2/THY1/SCNN1A/EPS8/DDN/LIMA1/SLC11A2/APPL2/TRPV4/TESC/HSP90AA1/AMN/PLA2G4F/CIB1/SHISA9/PRKCB/AQP8/CNGB1/PHLPP2/TMEM231/PLCG2/SLC7A5/DPEP1/MYO1C/INPP5K/TRPV1/SCIMP/ATP1B2/KSR1/SLC46A1/MYO1D/MPP2/MAPT/NME1/CA4/GNA13/NHERF1/PRCD/PDE6G/EPB41L3/PALM/ARHGAP45/INSR/RAB8A/CEACAM1/KCNN4/CEACAM20/PTPRH/FERMT1/PDE9A/TSPEAR/SLC19A1/ADORA2A/SSTR3/PDXP/SHISA8/PACSIN2/CLTRN/GABRA3",143
"GO:0062023","collagen-containing extracellular matrix","165/4945","432/19880",0.381944444444444,1.53550162903045,6.47504808860327,4.18844817949267e-10,3.5136426394633e-08,2.89027418233997e-08,"ANGPTL7/MFAP2/C1QA/C1QC/C1QB/FCN3/PODN/ANGPTL3/COL11A1/ADAMTSL4/CTSS/S100A7/DPT/MYOC/TNR/ANGPTL1/PRG4/PRELP/AGT/MATN3/VIT/EFEMP1/COL3A1/COL5A2/SERPINE2/FBLN2/CLEC3B/COL7A1/WNT5A/ADAMTS9/COL8A1/ABI3BP/CCDC80/PLOD2/AHSG/KNG1/ADIPOQ/P3H2/LRRC15/PF4/MMRN1/NPNT/FGB/FGA/ESM1/ERBIN/VCAN/HAPLN1/EDIL3/TGFBI/SPARC/F12/TNXB/TINAG/DST/COL19A1/COL9A1/COL12A1/COL10A1/SMOC2/VWC2/ZP3/FGL2/COL1A2/AZGP1/GPC2/ACHE/MUC17/SERPINE1/COL26A1/LAMB4/WNT2/PTPRZ1/ANGPT2/LOXL2/ADAMDEC1/CLU/SFRP1/SULF1/SBSPON/MATN2/CTHRC1/COL14A1/COL22A1/FREM1/IGFBPL1/OGN/ECM2/AMBP/COL27A1/ORM1/TNC/HMCN2/ITIH2/CXCL12/RBP3/LOXL4/COL17A1/VWA2/FGFR2/CTSD/SPON1/NAV2/F2/SERPINH1/ANGPTL5/MMP8/NCAM1/MFAP5/MGP/COL2A1/KRT1/INHBE/DCN/FREM2/COL4A1/F7/CMA1/CTSG/LGALS3/SMOC1/FBLN5/HSP90AA1/THBS1/CILP/THSD4/LMAN1L/ACAN/PCSK6/TPSB2/TPSAB1/SPN/ZG16/CBLN1/NTN1/MFAP4/LGALS9/MMP28/COL1A1/COLEC12/LAMA1/LAMA3/ELANE/ANGPTL6/GDF15/COMP/APLP1/LGALS4/EMILIN3/MMP9/BMP7/CTSZ/LAMA5/COL9A3/FBLN1/MXRA5/AMELX/EGFL6/SRPX/NDP/TIMP1/SRPX2/COL4A6/GPC4/BGN",165
"GO:0005903","brush border","57/4945","109/19880",0.522935779816514,2.10231816031391,6.64023874807825,6.95482207184446e-10,5.25089066424256e-08,4.31931054988235e-08,"ESPN/PDZK1/KCNK1/SLC5A6/PLB1/MYO7B/CYBRD1/FLNB/PLS1/MME/SI/ABCG2/MTTP/SLC7A11/SLC9A3/SLC6A19/SLC6A18/SLC22A5/CDHR2/SLC17A4/SLC17A3/EZR/SCIN/CD36/SLC26A3/ATP6V0A4/SLC20A2/B4GALT1/TRPM6/SLC28A3/SLC34A3/CDHR5/FOLR1/NHERF4/EPS8/LIMA1/SLC11A2/SOAT2/MYO1A/SLC15A1/HSP90AA1/AMN/MYO1E/LCTL/ANKS4B/PRKCB/AQP8/MYO1C/SLC46A1/MYO1D/CA4/GNA13/NHERF1/MYL12B/MYH14/SLC19A1/CLTRN",57
