"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
NA,NA,"hsa04082","Neuroactive ligand signaling","90/2317","199/9500",0.452261306532663,1.8543299145707,6.91729595210776,7.40060196995192e-11,2.57540948554327e-08,1.86183565349317e-08,"GABRD/HTR1D/OPRD1/GRIK3/SLC6A9/GNG12/PRKACB/ADORA3/GNG4/CHRM3/POMC/TACR1/SLC5A7/HTR1F/ADCY5/P2RY12/P2RY1/HTR3E/ADRA2C/GABRA2/GABRA4/GABRB1/ADCY2/HTR4/GRIA1/ADRA1B/GABRB2/GABRP/DRD1/GABBR1/HTR1B/GRIK2/ADCY1/GNGT1/TAC1/ACHE/GRM8/ADRA1A/PNOC/OPRK1/SLC1A1/PRKACG/GABBR2/GRIN3A/CHAT/SLC18A3/HTR7/ADRA2A/ADRB1/DRD4/P2RX3/P2RY2/GRIA4/DRD2/HTR3A/SLC6A12/GNB3/GRIN2B/SLC17A8/P2RX4/P2RX2/GABRB3/CHRNA7/CHRM5/GNG13/ADCY9/GRIN2A/PRKCB/GNAO1/P2RX5/P2RX1/SLC6A4/GNAL/GNG7/GNA11/GNG8/GRIN2D/SLC17A7/PRKCG/PLCB1/PLCB4/SLC32A1/SLC17A9/CHRNA4/P2RX6/ADORA2A/P2RY4/GRIA3/GABRA3/GABRQ",90
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","74/2317","158/9500",0.468354430379747,1.92031380604557,6.62511737062368,5.19128411896474e-10,8.99097023396076e-08,6.49982421632372e-08,"SFN/CDC20/ORC1/GADD45A/CDC7/CDC14A/BUB1/ANAPC1/MCM6/SGO1/CDC25A/MCM2/ATR/MAD2L1/CCNA2/TRIP13/SKP2/CCNB1/CDC25C/PTTG1/E2F3/CDKN1A/MCM3/TTK/HDAC2/FBXO5/DBF4/CDK6/MCM7/ORC5/ESCO2/PPP2CB/PRKDC/MCM4/E2F5/MTBP/MYC/CDKN2A/CDKN2B/CDK1/CDCA5/CCND1/CHEK1/CCND2/DDX11/ESPL1/CDK2/CDK4/ANAPC7/TFDP1/BUB1B/KNL1/CCNB2/SMAD3/TICRR/PKMYT1/PLK1/ORC6/CDT1/TP53/AURKB/CDC6/DBF4B/NDC80/CCNE1/CDC25B/PCNA/E2F1/RBL1/CDC45/CHEK2/MCM5/SMC1B/HDAC8",74
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","142/2317","370/9500",0.383783783783784,1.57356320498314,6.39139684042065,7.75083640858686e-10,8.99097023396076e-08,6.49982421632372e-08,"GABRD/HTR1D/CNR2/OPRD1/GRIK3/EDN2/INSL5/ADORA3/KISS1/AVPR1B/AGT/CHRM3/POMC/UCN/TACR1/SCTR/GCG/CHRNA1/NMUR1/OXTR/THRB/CCK/VIPR1/PTH1R/UCN2/HTR1F/AGTR1/P2RY1/KNG1/SST/UTS2B/ADRA2C/GABRA2/GABRA4/GABRB1/NMU/QRFPR/EDNRA/NPY2R/NPY1R/NPY5R/APELA/PTGER4/GHR/GZMA/F2RL2/F2RL1/NR3C1/HTR4/NMUR2/GRIA1/ADRA1B/GABRB2/GABRP/DRD1/GABBR1/HTR1B/CNR1/GRIK2/VIP/NPY/GHRHR/ADCYAP1R1/NPSR1/TAC1/VGF/GRM8/LEP/PRSS2/GNRH1/ADRA1A/PNOC/OPRK1/LYNX1/RLN2/PRSS3/GABBR2/GRIN3A/LPAR1/C5/UCN3/NPY4R/NPY4R2/NPFFR1/HTR7/ADRA2A/ADRB1/DRD4/ADM/CALCA/F2/APLNR/P2RX3/GAL/P2RY2/GRIA4/DRD2/GRIN2B/P2RX4/P2RX2/LTB4R/CTSG/SSTR1/BDKRB2/BDKRB1/GABRB3/CHRNA7/CHRM5/CHRNA5/SSTR5/NPW/GRIN2A/TRPV1/P2RX5/P2RX1/GLP2R/TMEM97/HCRT/PPY/PYY/SSTR2/GRP/GALR1/KISS1R/C3/INSL3/GIPR/GRIN2D/LHB/EDN3/CHRNA4/P2RX6/ADORA2A/SSTR3/GLRA2/GRPR/P2RY4/P2RY10/GRIA3/APLN/GABRA3/GABRQ",142
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","119/2317","298/9500",0.399328859060403,1.63730002635901,6.34833712300359,1.21944710090065e-09,1.06091897778356e-07,7.66968045040145e-08,"TNFRSF14/IL22RA1/IFNLR1/BMP8A/BMP8B/IL23R/CSF1/NGF/IL6R/XCL2/FASLG/IL24/GDF7/IL1R2/IL1RL2/IL18RAP/EDAR/IL1A/IL36G/IL36RN/INHBB/ACVR1C/IL17RE/CX3CR1/CCR8/CCR9/CCR3/CCR2/IL17RB/TNFSF10/RELL1/CXCL8/CXCL6/PF4V1/CXCL1/PF4/PPBP/CXCL5/CXCL3/CXCL2/CXCL9/CXCL10/CXCL11/CXCL13/BMP3/BMPR1B/IL2/IL15/LIFR/GHR/CCL28/CSF2/CSF1R/BMP6/TNFRSF21/IL17A/IL17F/BMP5/IL20RA/INHBA/CCL26/CCL24/EPO/LEP/TNFRSF10C/GDF6/TNFRSF11B/IL33/IFNE/CNTFR/CCL19/CCL21/TNFSF15/CXCL12/IL18/IL10RA/CXCR5/TNFRSF1A/CD27/ACVRL1/IL23A/INHBE/IL17D/TNFRSF19/BMP4/IL16/TNFRSF12A/IL32/TNFRSF17/IL4R/IL21R/IL27/TNFRSF13B/CCL7/CCL5/CCL16/CCL23/CCR7/CCR10/NGFR/AMH/EBI3/TNFSF9/TNFSF14/CCL25/GDF15/CXCL17/IL11/BMP2/BMP7/IL10RB/IFNGR2/LIF/CSF2RB/IL2RB/TNFRSF13C/IL2RG/IL13RA2/CD40LG",119
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","26/2317","36/9500",0.722222222222222,2.96120462283604,6.69554325981994,1.89186434496671e-09,1.31673758409683e-07,9.51906480941145e-08,"MCM6/MCM2/RFC4/MCM3/PRIM2/POLD2/RFC2/MCM7/SSBP1/MCM4/POLE3/DNA2/FEN1/POLA2/POLD4/PRIM1/RFC5/RFC3/RNASEH2B/POLE2/RNASEH2A/LIG1/POLD1/PCNA/MCM5/POLA1",26
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","51/2317","100/9500",0.51,2.09106603366422,6.22925538832548,7.23936956331135e-09,4.19883434672059e-07,3.03545495724809e-07,"TNFRSF14/IL22RA1/CSF1/IL6R/XCL2/IL24/IL18RAP/CX3CR1/CCR8/CCR9/CCR3/CCR2/TNFSF10/CXCL8/CXCL6/PF4V1/CXCL1/PF4/PPBP/CXCL5/CXCL3/CXCL2/CXCL9/CXCL10/CXCL11/CXCL13/IL2/CCL28/CSF1R/IL20RA/CCL26/CCL24/TNFRSF10C/CCL19/CCL21/CXCL12/IL18/IL10RA/CXCR5/TNFRSF1A/CCL7/CCL5/CCL16/CCL23/CCR7/CCR10/TNFSF14/CCL25/IL10RB/IL2RB/IL2RG",51
"Organismal Systems","Digestive system","hsa04976","Bile secretion","46/2317","90/9500",0.511111111111111,2.09562173308397,5.93111177993305,3.60664541483127e-08,1.7930180062304e-06,1.29622293856342e-06,"NR0B2/SLC9A1/PRKACB/ATP1A1/ATP1A2/ATP1A4/ABCG5/ABCG8/SCTR/ABCB11/UGT1A8/UGT1A10/UGT1A9/UGT1A7/UGT1A6/UGT1A4/UGT1A1/ADCY5/ATP1B3/SLC51A/UGT2B17/SLC4A4/ABCG2/SLC9A3/ADCY2/ADCY1/ABCB1/CYP3A4/SLC4A2/CA2/PRKACG/BAAT/RXRA/ABCC2/SLCO1B3/SLCO1B3-SLCO1B7/SLCO1B1/SLCO1A2/NR1H4/SLC10A2/SLC51B/ADCY9/AQP8/ATP1B2/ABCC3/SLC27A5",46
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","67/2317","160/9500",0.41875,1.71692921881744,5.1941185939203,7.02565157210824e-07,3.05615843386708e-05,2.20938253386035e-05,"PTPRF/NEGR1/CD2/VTCN1/CADM3/SELE/CNTN2/NRXN1/CD8A/ALCAM/TIGIT/IGSF11/CLDN18/SLITRK3/CLDN11/CLDN1/CLDN16/VCAN/HLA-G/HLA-A/HLA-E/HLA-C/HLA-B/HLA-DRB5/HLA-DRB1/HLA-DQB1/HLA-DMB/CLDN20/ITGB8/CLDN4/NRCAM/CNTNAP2/CLDN23/ITGA8/VSIR/CD6/NRXN2/NCAM1/JAML/NECTIN1/CNTN1/ITGB7/NEO1/CLDN9/CLDN6/SPN/ITGAL/CDH3/CDH1/CDH15/CLDN7/CD226/PTPRS/ICAM3/MAG/CD22/LRRC4B/SIGLEC1/CDH4/JAM2/CLDN8/CLDN14/CLDN5/NLGN4X/CLDN2/CD40LG/SLITRK2",67
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","48/2317","105/9500",0.457142857142857,1.87434490412479,5.11655996167827,1.36091393842668e-06,5.26220056191648e-05,3.80419217875995e-05,"CELA3B/CELA3A/COL11A1/ATP1A1/ATP1A2/ATP1A4/DPP4/COL3A1/COL5A2/COL7A1/COL8A1/ATP1B3/CPB1/MME/SLC9A3/SLC6A19/SLC36A1/KCNK5/MEP1A/COL19A1/COL9A1/COL12A1/SLC16A10/COL10A1/COL1A2/COL26A1/PRSS2/COL14A1/COL22A1/SLC1A1/PRSS3/COL27A1/COL17A1/KCNQ1/KCNE3/COL2A1/SLC15A1/COL4A1/SLC8A3/CTRB2/CTRB1/ATP1B2/COL1A1/MEP1B/KCNN4/COL9A3/COL4A6/XPNPEP2",48
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","32/2317","61/9500",0.524590163934426,2.1508875948973,5.12134296941961,2.0569736634249e-06,7.15826834871864e-05,5.17491269009e-05,"ATP1A1/ATP1A2/ATP1A4/SLC26A9/MT1HL1/CYBRD1/TF/ATP1B3/CLCN2/SLC9A3/SLC6A19/STEAP1/SLC26A3/TRPM6/SLC34A3/FTH1/HEPHL1/VDR/SLC11A2/ATP2B1/SLC8A3/MT2A/MT1E/MT1M/MT1F/MT1G/MT1H/MT1X/ATP1B2/SLC46A1/HMOX1/HEPH",32
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","24/2317","45/9500",0.533333333333333,2.18673572147892,4.5318813699141,2.70449042435886e-05,0.000855602425160804,0.000618538958298343,"ABCA4/ABCD3/ABCG5/ABCG8/ABCB11/ABCA12/ABCB6/ABCG2/ABCB5/ABCA13/ABCB1/DEFB1/ABCC2/ABCC8/ABCC9/ABCD2/ABCC1/ABCC3/ABCA8/ABCA9/ABCA6/ABCA10/ABCA5/ABCG1",24
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","22/2317","41/9500",0.536585365853659,2.20006947587819,4.3734557083677,5.15993583745978e-05,0.00149638139286334,0.00108177602206394,"GABRD/GABRA2/GABRA4/GABRB1/GRIA1/GABRB2/GABRP/GRIN3A/GRIA4/GRIN2B/SLC17A8/GABRB3/CHRNA7/GRIN2A/CACNA1A/GRIN2D/SLC17A7/SLC32A1/CHRNA4/GRIA3/GABRA3/GABRQ",22
NA,NA,"hsa04981","Folate transport and metabolism","18/2317","31/9500",0.580645161290323,2.3807203419327,4.37304090231653,6.26831321569236e-05,0.00167797923004688,0.00121305818506111,"MTHFR/ABCG2/ABCC2/FOLH1/FOLR3/FOLR1/FOLR2/SLCO2B1/SLCO1B3/SLCO1B3-SLCO1B7/SLCO1B1/SHMT2/MTHFD1/ABCC1/SLC46A1/ABCC3/TYMS/SLC19A1",18
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","44/2317","106/9500",0.415094339622642,1.7019405379435,4.12740424412702,7.09077101929932e-05,0.00170882201018784,0.0012353552947214,"PLA2G2A/PLA2G5/PLA2G2D/CELA3B/CELA3A/SLC9A1/CLCA4/ATP1A1/ATP1A2/ATP1A4/RYR2/CHRM3/SCTR/CCK/ADCY5/ATP1B3/CPB1/SLC4A4/ADCY2/SLC12A2/ADCY1/SLC26A3/PRSS2/SLC4A2/CA2/PRSS3/CEL/PLA2G12B/PNLIPRP2/KCNQ1/ATP2B1/ADCY9/PLA2G10/PRKCB/CTRB2/CTRB1/ATP2A3/ATP1B2/RAB3D/RAB8A/PRKCG/PLCB1/PLCB4/PLA2G3",44
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","41/2317","97/9500",0.422680412371134,1.73304441844013,4.12127854200748,7.59622875506867e-05,0.00170882201018784,0.0012353552947214,"PER3/GNG12/PRKACB/KCNJ9/ADCY10/GNG4/RYR2/KCNJ3/CACNA1D/ADCY5/PRKG2/GUCY1B1/ADCY2/GRIA1/ADCYAP1R1/CAMK2B/ADCY1/GNGT1/PRKACG/CALML3/GRIA4/GNB3/GRIN2B/FOS/GNG13/ADCY9/GRIN2A/PRKCB/MAPK3/GNAO1/PER1/RASD1/GNG7/RYR1/GNG8/GRIN2D/PRKCG/PLCB1/PLCB4/KCNJ6/GRIA3",41
NA,NA,"hsa04382","Cornified envelope formation","78/2317","217/9500",0.359447004608295,1.47377925929167,4.00968968981979,7.85665292040385e-05,0.00170882201018784,0.0012353552947214,"PADI2/PADI1/PADI3/S100A11/TCHH/SPRR1A/SPRR3/SPRR1B/SPRR2D/SPRR2A/LORICRIN/S100A7/S100A5/S100A2/GBA1/PKP1/ABCA12/ABHD5/COL7A1/PPP2R3A/CLDN18/CLDN11/CLDN1/CLDN16/PPP2R2C/DST/CLDN20/CLDN4/CLDN23/EPHX2/PPP2CB/GBA2/COL17A1/ST14/KRT80/KRT7/KRT83/KRT75/KRT6B/KRT6C/KRT6A/KRT72/KRT73/KRT2/KRT1/KRT8/COL4A1/PCSK6/CLDN9/CLDN6/PRSS8/CLDN7/ALOXE3/KRT24/KRT20/KRT40/KRT32/KRT35/KRT15/KRT19/KRT9/KRT14/KRT16/KRT17/EVPL/LAMA3/DSG1/DSG4/DSG3/DSG2/EPHX3/CYP4F22/LAMA5/CLDN8/CLDN14/CLDN5/CLDN2/COL4A6",78
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","38/2317","89/9500",0.426966292134831,1.75061708039745,4.04058815856174,0.000106148725273559,0.00217292684677638,0.00157086968051892,"GABRD/GNG12/PRKACB/GNG4/GAD1/SLC38A3/CACNA1D/ADCY5/GABRA2/GABRA4/GABRB1/ADCY2/GABRB2/GABRP/GABBR1/ADCY1/GNGT1/PRKACG/GABBR2/SLC6A12/GNB3/GABARAPL1/GLS2/GABRB3/GNG13/ADCY9/ABAT/PRKCB/GNAO1/GNG7/CACNA1A/GNG8/PRKCG/SLC32A1/KCNJ6/SLC38A5/GABRA3/GABRQ",38
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","22/2317","43/9500",0.511627906976744,2.09774066304664,4.09738065473026,0.000131957890479334,0.00255118588260047,0.00184432373243046,"PLA2G2A/PLA2G5/PLA2G2D/PLPP3/APOB/ABCG5/ABCG8/FABP1/MTTP/FABP2/PLPP1/NPC1L1/CD36/MOGAT3/CEL/AGPAT2/PLA2G12B/PNLIPRP2/MOGAT2/ACAT1/PLA2G10/PLA2G3",22
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","46/2317","115/9500",0.4,1.64005179110919,3.92189467699294,0.000142289279350754,0.00260614048495066,0.00188405195373021,"HTR1D/CYP4X1/GNG12/PRKACB/KCNJ9/PTGS2/GNG4/KCNJ3/CACNA1D/HTR1F/ADCY5/HTR3E/GABRB1/HTR4/GABRB2/DUSP1/HTR1B/GNGT1/PRKACG/HTR7/CYP2C18/CYP2C9/CYP2C8/TPH1/HTR3A/GNB3/GABRB3/PLA2G4E/PLA2G4D/PLA2G4F/GNG13/PRKCB/MAPK3/GNAO1/ALOX15/ALOX12/SLC6A4/GNG7/CACNA1A/GNG8/PRKCG/PLCB1/PLCB4/KCNJ6/MAOA/MAOB",46
"Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","20/2317","38/9500",0.526315789473684,2.15796288303841,4.06203810265907,0.000160633986205954,0.0027950313599836,0.00202060645806437,"PIK3CD/SFN/ATP1A1/ATP1A2/ATP1A4/ATP1B3/NR3C2/SGK1/FXYD4/SCNN1A/IGF1/SCNN1G/SCNN1B/PRKCB/MAPK3/HSD11B2/ATP1B2/NEDD4L/INSR/PRKCG",20
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","38/2317","91/9500",0.417582417582418,1.71214197972938,3.87672126912233,0.000186009301177972,0.00306733409705199,0.00221746173380346,"GABRD/GNG12/PRKACB/KCNJ9/GNG4/KCNJ3/ADCY5/GABRA2/GABRA4/GABRB1/ADCY2/GABRB2/GABRP/DRD1/GABBR1/PDE10A/ADCY1/GNGT1/PRKACG/GABBR2/ARRB1/GNB3/PDE3A/GABRB3/PDE8A/GNG13/ADCY9/PRKCB/GNAO1/GNG7/CACNA1A/PDE4C/GNG8/PRKCG/SLC32A1/KCNJ6/GABRA3/GABRQ",38
NA,NA,"hsa04081","Hormone signaling","77/2317","219/9500",0.351598173515982,1.44159803556402,3.75492123421183,0.000196970072217226,0.00306733409705199,0.00221746173380346,"PIK3CD/OPRD1/GUCA2B/GUCA2A/GNG12/PRKACB/NPR1/AVPR1B/AGT/GNG4/POMC/UCN/GCG/NPPC/OXTR/THRB/CCK/VIPR1/PTH1R/UCN2/ADCY5/AGTR1/ADIPOQ/SST/ADRA2C/PRKG2/BMPR1B/ADCY2/GHR/ADRA1B/DRD1/SLC16A10/ESR1/VIP/GPER1/GHRHR/ADCY1/GNGT1/EPO/LEP/GNRH1/ADRA1A/PNOC/OPRK1/PRKACG/UCN3/ADRA2A/ADRB1/DRD4/IGF2/CALCA/HEPHL1/DRD2/GNB3/SLCO1C1/IGF1/SSTR1/DIO2/GNG13/SSTR5/ADCY9/GNAO1/GAST/HCRT/GNA13/SSTR2/AMH/GNG7/GNA11/INSR/GIPR/GNG8/LHB/PLCB1/PLCB4/SSTR3/HEPH",77
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","79/2317","226/9500",0.349557522123894,1.43323110063746,3.74359904105074,0.000202726104115505,0.00306733409705199,0.00221746173380346,"PIK3CD/HTR1D/SLC9A1/EDN2/PRKACB/ATP1A1/NPR1/ATP1A2/ATP1A4/ADCY10/RYR2/POMC/CNGA3/GCG/OXTR/CACNA1D/HTR1F/POPDC2/ADCY5/ATP1B3/PLD1/SST/CNGA1/HHIP/EDNRA/NPY1R/ADCY2/CAMK4/HTR4/GRIA1/DRD1/GABBR1/HTR1B/POPDC3/VIP/PDE10A/NPY/ADCYAP1R1/CAMK2B/ADCY1/PRKACG/GABBR2/GRIN3A/CALML3/PLCE1/ADRB1/GRIA4/DRD2/GRIN2B/PDE3A/ATP2B1/HCAR1/SSTR1/FOS/HCN4/SSTR5/ADCY9/GRIN2A/MAPK3/CNGB1/ATP2A3/ATP1B2/PPP1R1B/SOX9/SSTR2/ACOX1/AMH/CREB3L3/PDE4C/FXYD1/GIPR/GRIN2D/LHB/TNNI3/EDN3/ADORA2A/PPARA/GRIA3/GPR119",79
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","87/2317","254/9500",0.34251968503937,1.40437505734744,3.7099947998087,0.000219286485315334,0.00317965403707235,0.00229866096448969,"PRKACB/MCOLN2/MCOLN3/NGF/CASQ2/CACNA1E/AVPR1B/RYR2/CHRM3/TGFA/TACR1/PLCD4/OXTR/PLCD1/CACNA1D/MYLK/AGTR1/FGFR3/FGF5/EDNRA/ADCY2/CAMK4/HTR4/ADRA1B/FGF18/DRD1/FGFR4/PDGFA/CAMK2B/ADCY1/EGFR/MET/FGF20/ADRA1A/PTK2B/PRKACG/GRIN3A/CALML3/HTR7/PLCE1/FGF8/ADRB1/FGFR2/STIM1/P2RX3/FGF19/FGF3/SLN/FGF23/GRIN2B/ATP2B1/P2RX4/P2RX2/FLT1/SLC8A3/BDKRB2/BDKRB1/CHRNA7/CHRM5/ITPKA/NTRK3/ADCY9/GRIN2A/PRKCB/PLCG2/P2RX5/P2RX1/ATP2A3/PLCD3/ERLN/GNAL/FGF22/GNA11/MCOLN1/CACNA1A/RYR1/GRIN2D/HRC/PRKCG/PLCB1/PLCB4/MYLK2/P2RX6/ADORA2A/VEGFD/GRPR/PHKA1",87
"Organismal Systems","Digestive system","hsa04977","Vitamin digestion and absorption","15/2317","26/9500",0.576923076923077,2.3654593140998,3.95956772428694,0.000285767065040611,0.0039778775453653,0.0028757190966192,"MMACHC/APOB/SLC5A6/PLB1/BTD/RBP2/SLC23A1/LMBRD1/FOLH1/CBLIF/AMN/ABCC1/SLC46A1/SLC19A1/TCN2",15
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","32/2317","76/9500",0.421052631578947,1.72637030643073,3.61074041556805,0.000489326146285532,0.00654944226566789,0.00473477526162924,"CPT2/HMGCS2/RXRG/FABP1/AQP7B/ACADL/CYP27A1/PPARG/ACAA1/CYP8B1/ADIPOQ/FABP2/ACSL6/FABP6/PPARD/CD36/FABP4/AQP7/RXRA/SCD/FADS2/CPT1A/MMP1/OLR1/PCK2/PLIN1/ACOX1/PLIN4/SLC27A5/PCK1/PPARA/ACSL4",32
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","27/2317","63/9500",0.428571428571429,1.75719834761699,3.42461679550881,0.000950251242695066,0.0113422497409769,0.0081996300305308,"PLA2G2A/PLA2G5/PLA2G2D/PTGS2/PLB1/HPGD/LTC4S/EPHX2/PTGDS/AKR1C3/AKR1C8/PLA2G12B/CYP2C9/CYP2C8/PLAAT2/PLA2G4E/PLA2G4D/PLA2G4F/PLA2G10/ALOX15/ALOX12/ALOXE3/CYP4F8/CYP2B6/PTGIS/GGT1/PLA2G3",27
"Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","13/2317","23/9500",0.565217391304348,2.3174644874369,3.5926625156056,0.000954775789368077,0.0113422497409769,0.0081996300305308,"EXO1/MSH2/MSH6/RFC4/POLD2/RFC2/SSBP1/POLD4/RFC5/RFC3/LIG1/POLD1/PCNA",13
