"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015711","organic anion transport","182/4672","469/18805",0.388059701492537,1.56195691065222,7.08592410367346,9.63936323363121e-12,3.2859857688158e-08,2.59584222929017e-08,"GLTP/SLC25A23/SLC7A5/SLC35D3/SLCO1B3/SLC38A5/SLC25A20/SLC39A10/SLC12A2/CPT2/PPARD/SLC36A1/BEST4/P2RX4/NHERF1/SLC1A1/SLC51B/MPC1/CLDN2/CEACAM1/ABCG2/PPARA/SLC4A11/SLC7A1/SLC2A5/SLCO2A1/FABP6/GIPC1/CLN3/ERFE/BDKRB2/CPT1A/SLC25A19/SLC35D2/PSEN1/SLC22A3/CA4/FABP1/SLC6A9/CYB5RL/CPTP/SLC43A1/SLC17A5/SLC51A/ABCB11/SLCO5A1/APBA1/SLCO2B1/SLC35D1/SFXN2/SLC26A3/SLC39A14/SLC17A8/SFXN1/SLC22A11/SLC17A4/SLCO4A1/SLC4A2/ABCB1/SLC17A7/SLC6A6/PLA2G4F/ATP8B1/MFSD12/SLC26A2/SLC16A10/ACACB/SLC25A15/PLA2G3/PPARG/SLC7A11/SLC6A8/TTYH3/TRPV1/SLC37A1/SLC5A6/SLC1A4/ABCD3/SLC4A9/FABP2/LRRC8E/SLC4A4/FOLR1/ABCC2/SLC16A3/SLC13A2/SLC16A9/SLC17A1/SLC25A25/AKR1C4/ABCC1/SLC13A3/PIANP/SLC19A1/SLC25A22/SLC25A24/SLC25A29/SLC37A2/PLA2G2D/DRD2/SLC46A2/ABAT/SLC25A32/CRABP2/CD36/SLC27A5/SLCO1B1/KCNK1/SLC17A9/ABCC3/ABCC8/SLC46A1/KCNJ10/SLC6A7/FABP4/SLC4A8/SLC26A9/SLCO1C1/SLC25A18/SLCO1A2/NR0B2/RBP1/ADCY10/BEST2/SLCO4C1/THBS1/SLC23A1/ACSL4/PLA2G10/NMUR2/ADORA2A/SLC10A2/SLC38A3/G6PC1/AVPR1B/ATP1A2/AGXT/STXBP1/FOLR2/PLA2G12B/SLC6A20/RBP2/SLC2A14/ABCD2/RGS4/CASR/CR1/SLC39A12/FGF19/SLC52A1/SLC44A4/PMP2/SLC6A12/HTR1B/SLC22A2/SLC4A1/SLC4A3/CALHM3/CLTRN/SLC11A1/PTGS2/SLC16A12/LEP/IL1A/SLC13A5/FOLR3/SLC2A7/SYT4/PLA2G2A/SLC7A10/SLC7A14/FABP12/SLC17A3/SLC6A15/PLA2G5/SLC25A21/NPY5R/RHAG/DRD4/SLCO1B3-SLCO1B7/SLC32A1/MTTP",182
"GO:0006261","DNA-templated DNA replication","80/4672","162/18805",0.493827160493827,1.98767546084898,7.25894038998783,1.20657204010683e-11,3.2859857688158e-08,2.59584222929017e-08,"MCM4/RFC3/ORC6/TIMELESS/BRCA1/MCM3/GINS1/RFC4/TICRR/MMS22L/WDHD1/E2F7/RFC5/POLA1/TRAIP/POLE3/FEN1/MCM10/EXO1/EME1/CDC45/MCM7/PCNA/ATR/POLD2/FBXO5/MCM6/DBF4/BRCA2/MCM2/CDT1/TWNK/CDC6/CDC7/TIPIN/POLE2/POLB/LIG1/ATAD5/MCM8/DACH1/MRE11/BLM/ORC1/PRIM1/POLQ/RRM1/RFC2/RAD51/NOC3L/E2F8/DNA2/DONSON/TK1/PRIM2/POLD4/ORC5/CDK2/DBF4B/POLA2/MCIDAS/FANCM/CCNE1/GINS3/BARD1/NBN/RECQL5/DDX11/MCM5/TONSL/WDR18/NUGGC/POLD1/HELB/SSBP1/NYNRIN/CENPS/AICDA/ZNF365/OOEP",80
"GO:0019730","antimicrobial humoral response","88/4672","185/18805",0.475675675675676,1.91461495742318,7.18776193028277,1.56079121381371e-11,3.2859857688158e-08,2.59584222929017e-08,"MMP7/REG1A/REG1B/REG3A/NPY/CXCL5/KLK7/KRT6A/LGALS3/EVPL/CXCL3/RPL39/LGALS4/PPBP/CCL23/XCL2/CXCL1/RPL30/RPS19/CXCL6/CCL24/CCL21/PRSS3/CXCL11/DEFB1/CCL28/LTF/LEAP2/DEFA6/PF4/ADM/CXCL2/CCL19/CALCA/CXCL12/LYZ/CCL5/CXCL10/PGC/H2BC4/FGB/KNG1/DEFA5/SPINK5/B2M/TF/NOD2/CTSG/CCL26/HLA-E/IGHA1/IGHA2/FGA/VIP/JCHAIN/PGLYRP4/PGLYRP3/F2/CXCL9/IL36RN/PRSS2/POMC/PF4V1/SEMG1/SPRR2A/CCL7/CXCL8/WFDC10B/SLC11A1/CXCL13/HLA-A/CAMP/CCL25/IGHG1/RNASE7/H2BC10/IGHM/REG3G/IL17A/ELANE/RNASE3/H2BC12L/IL17F/TAC1/WFDC10A/S100A7/CCL16/DEFB4A",88
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","69/4672","136/18805",0.507352941176471,2.0421173071112,7.01269407950458,6.52118020481459e-11,9.86362101143968e-08,7.79200086567515e-08,"MMP7/REG1A/REG1B/REG3A/NPY/CXCL5/KLK7/KRT6A/LGALS3/EVPL/CXCL3/RPL39/LGALS4/PPBP/CCL23/XCL2/CXCL1/RPL30/RPS19/CXCL6/CCL24/CCL21/CXCL11/DEFB1/CCL28/LTF/LEAP2/DEFA6/PF4/ADM/CXCL2/CCL19/CALCA/CXCL12/CCL5/CXCL10/PGC/H2BC4/KNG1/DEFA5/SPINK5/B2M/NOD2/CCL26/VIP/PGLYRP4/PGLYRP3/F2/CXCL9/POMC/PF4V1/SEMG1/CCL7/CXCL8/CXCL13/CAMP/CCL25/RNASE7/H2BC10/REG3G/IL17A/ELANE/RNASE3/H2BC12L/IL17F/TAC1/S100A7/CCL16/DEFB4A",69
"GO:0042391","regulation of membrane potential","177/4672","463/18805",0.382289416846652,1.53873126793692,6.74836699174431,7.80843968606687e-11,9.86362101143968e-08,7.79200086567515e-08,"GRIN2D/NUP155/P2RX2/PINK1/RTL10/GNA11/CNR2/GPD1L/MET/PTK2B/PYCR1/P2RX4/SMAD7/KCNE3/CLCN2/STX1A/SLC9A1/ASIC1/SLC4A11/KCNN4/KCNH8/CHRNA5/CLN3/ATP1B3/PSEN1/CDKN2A/SRI/WWP2/GRIN2B/DSC2/CCN6/GPER1/SCN4B/CACNA1D/TBC1D24/PRKAR1B/PID1/SLC26A3/GABRD/KCNK5/ANK3/MYOC/MYH14/NEDD4L/KCNG1/NRCAM/PRKCZ/ATP1A1/AKAP9/TRPV1/MPP2/CHRNA1/TRPM4/LTF/PMAIP1/SLC4A4/KCNQ1/KCNIP2/FKBP1B/FXYD1/TMEM108/SLC25A27/KCNK6/STOX1/GRIN3A/SLC6A4/DRD2/USP53/DSG2/ABAT/SEZ6/CD36/UCN3/KCNK3/KCNK1/ABCC8/KCTD16/KCNJ10/KCNJ11/AGT/B2M/AKAP7/SLC4A8/CNGB1/RIMS3/ADCY10/BEST2/P2RX1/GABRB1/NLGN4X/ADRB1/KCNK9/GRIA4/ADORA2A/HCN4/SLC29A1/P2RX5/ABCB5/KCNV2/KCNA3/DCN/GABRA4/ATP1A2/GRIK2/P2RX6/KCNQ3/HTR3A/GRIK3/SCN9A/GABRA2/GRIA3/RYR2/SLC8A3/KCNS1/HCN1/RGS4/KCNMB4/RELN/CASR/POPDC2/GABRA3/OPRD1/PHOX2B/FHL1/FGF13/CBLN1/ANK2/SCN2B/INSYN1/CHRNA7/KCNA6/KCNH4/GABRB2/SCN11A/KCNG3/KCNJ9/KCNA5/DRD1/HTR3E/ATP1B2/NRXN1/SLC4A3/ABCC9/KCNJ3/KCNF1/CTNNA3/GLRA2/GRIN2A/TACR1/ATP1A4/SCN7A/NDP/CNR1/GRIA1/GBA1/ADRA1A/SCN4A/RIMS4/KCNB2/CUX2/CASQ2/FZD9/NETO1/IGSF11/KCNV1/P2RX3/KCNIP1/HCRT/CHCHD10/POPDC3/CHRNA4/DRD4/GABBR1/KCNA7/WNT7A/MAPT/SCN1A",177
"GO:0006260","DNA replication","118/4672","280/18805",0.421428571428571,1.69626804060665,6.74894248804465,1.30292968897301e-10,1.37155065259225e-07,1.08348889925124e-07,"MCM4/RFC3/CHEK1/ORC6/CHAF1B/TOP1MT/TIMELESS/BRCA1/DSCC1/MCM3/GINS1/RFC4/TICRR/MMS22L/WDHD1/CDK1/E2F7/RFC5/POLA1/RUVBL1/TRAIP/POLE3/DTL/SET/FEN1/MCM10/EXO1/EME1/DNAJC2/CDC45/MCM7/PCNA/CCNA2/CDC25A/ATR/SSRP1/POLD2/ACTL6A/FBXO5/MCM6/SUPT16H/JADE3/DBF4/BRCA2/MCM2/CDT1/TWNK/CDC6/CHTF18/RBBP7/CDC7/TIPIN/POLE2/POLB/RMI2/LIG1/ATAD5/MCM8/PCLAF/DACH1/DTD1/MRE11/ACVRL1/BLM/FAM111B/GTPBP4/RECQL4/ORC1/S100A11/PRIM1/POLQ/RRM1/RFC2/RAD51/CDKN1A/NOC3L/E2F8/DNA2/DONSON/TK1/PRIM2/POLD4/ORC5/CDK2/OBI1/DBF4B/POLA2/MCIDAS/FANCM/CCNE1/GINS3/BARD1/NBN/RECQL5/DDX11/RUVBL2/MCM5/TONSL/WDR18/TP53/NUGGC/EGFR/POLD1/ADRA2A/HELB/NAP1L1/SSBP1/NYNRIN/PTK6/ESCO2/EREG/CENPS/UCN/AICDA/RNASEH2A/ZNF365/HCRT/OOEP",118
"GO:0006814","sodium ion transport","108/4672","252/18805",0.428571428571429,1.72501834637965,6.66195282998494,2.41770865741899e-10,1.91851053394043e-07,1.51557280271951e-07,"SLC38A5/CHP1/SLC12A2/GPD1L/TESC/P2RX4/CNNM4/KCNE3/NHERF1/SLC22A5/SLC9A1/ASIC1/SLC4A11/SLC22A4/PCSK9/SLC20A2/MCOLN1/SGK1/SLC28A3/ATP1B3/SLC6A9/SLC5A11/SCN4B/TRPV3/CNKSR3/SLC17A8/FXYD3/ANK3/SLC17A4/SLC17A7/SLC6A6/NEDD4L/EDNRA/PRSS8/SLC20A1/ATP1A1/FXYD5/SCNN1A/SLC6A8/SLC5A6/SCNN1B/SLC6A19/SLC9A7/SLC4A9/TRPM4/SLC9A3/SLC4A4/KCNQ1/SLC13A2/FXYD1/CNGA1/SLC17A1/SCNN1G/SLC13A3/SLC5A2/SLC6A4/DRD2/KCNK3/KCNK1/SLC9A9/SLC6A7/SLC9A2/CLCNKB/AGT/SLC4A8/CNGB1/ATP12A/SLC24A2/SLC23A1/PER1/SERPINE2/FXYD4/KCNK9/OSR1/SLC10A2/HCN4/SLC38A3/ATP1A2/SLC6A20/SCN9A/SLC8A3/HCN1/SLC6A16/GRP/SLC6A18/FGF13/CNGA3/SCN2B/SLC12A3/SLC6A12/MCOLN3/SCN11A/SLC34A3/ATP1B2/SPTBN4/GRIN2A/ATP1A4/SCN7A/SLC13A5/SLC9A4/CNTN1/SCN4A/SLC17A3/SLC6A15/SLC5A7/ATP6V1B1/SLC13A1/SCN1A",108
"GO:0035725","sodium ion transmembrane transport","87/4672","190/18805",0.457894736842105,1.84304591744773,6.71515232630324,2.43003234191314e-10,1.91851053394043e-07,1.51557280271951e-07,"SLC38A5/CHP1/SLC12A2/TESC/CNNM4/SLC9A1/ASIC1/SLC4A11/PCSK9/SLC20A2/MCOLN1/SLC28A3/ATP1B3/SLC6A9/SLC5A11/SCN4B/TRPV3/SLC17A8/FXYD3/ANK3/SLC17A4/SLC17A7/SLC6A6/NEDD4L/SLC20A1/ATP1A1/FXYD5/SCNN1A/SLC6A8/SLC5A6/SCNN1B/SLC6A19/SLC9A7/SLC4A9/TRPM4/SLC9A3/SLC4A4/SLC13A2/FXYD1/CNGA1/SLC17A1/SCNN1G/SLC13A3/SLC5A2/SLC6A4/KCNK3/KCNK1/SLC9A9/SLC6A7/SLC9A2/AGT/SLC4A8/CNGB1/ATP12A/SLC24A2/SLC23A1/FXYD4/KCNK9/OSR1/HCN4/ATP1A2/SLC6A20/SCN9A/SLC8A3/HCN1/SLC6A16/GRP/SLC6A18/FGF13/CNGA3/SCN2B/SLC12A3/SLC6A12/MCOLN3/SCN11A/SLC34A3/ATP1B2/GRIN2A/ATP1A4/SCN7A/SLC13A5/SLC9A4/SCN4A/SLC17A3/SLC6A15/SLC13A1/SCN1A",87
"GO:0046883","regulation of hormone secretion","111/4672","262/18805",0.423664122137405,1.70526622790965,6.60956827720597,3.13573729058351e-10,2.20059074748061e-07,1.73840874355156e-07,"INHBA/VSNL1/SOX4/PDX1/SPP1/GNA11/IL11/PPARD/STX1A/CRY2/C2CD2L/TFR2/SIRT6/CPT1A/BLK/BMAL1/VAMP8/SRI/NDUFAF2/TCF7L2/MYB/SIDT2/PFKM/GPER1/GIPR/F2RL1/SYTL4/EDN3/GALR1/C1QTNF12/MIDN/ANO1/EGFR/PCK2/P2RY1/PLA2G3/PPARG/ADCY5/FOXO1/ADRA2A/CHGA/PRKCB/TRPM4/RAB11FIP1/ILDR1/PLCB1/FKBP1B/SSTR5/CYP19A1/BMP6/SLC25A22/HNF4A/BMP8A/DRD2/ABAT/LIF/FOXA2/CRHBP/KISS1/F2RL2/UCN3/SFRP1/CCL5/UCN/ABCC8/FGB/GCG/KCNJ11/AGT/ACVR1C/FFAR4/NR0B2/ACSL4/KCNK9/KLF7/AGTR1/NEUROD1/ABCA12/FGA/CHRM3/GAL/SPINK1/FAM3D/ADRA2C/F2/NR1H4/CASR/FGF23/GRP/POMC/GNAO1/FFAR1/SOX11/ECRG4/BRSK2/RBP4/KCNA5/ADIPOQ/RFX6/INHBB/TUNAR/RASL10B/TACR1/LEP/CNR1/HLA-DRB1/NKX6-1/GHRHR/SLC30A8/FOXL2/OPRK1",111
"GO:0015849","organic acid transport","142/4672","361/18805",0.393351800554017,1.58325783592001,6.43348044383902,6.26402786170412e-10,3.95635999745232e-07,3.12542021731342e-07,"SLC7A5/SLCO1B3/SLC38A5/SLC25A20/SLC12A2/CPT2/PPARD/SLC36A1/P2RX4/NHERF1/SLC1A1/SLC51B/MPC1/CLDN2/CEACAM1/ABCG2/PPARA/SLC7A1/SLCO2A1/FABP6/GIPC1/CLN3/ERFE/BDKRB2/CPT1A/SLC35D2/PSEN1/SLC22A3/FABP1/SLC6A9/SLC43A1/SLC17A5/SLC51A/ABCB11/APBA1/SLCO2B1/SLC35D1/SFXN2/SLC26A3/SLC17A8/SFXN1/SLC22A11/SLCO4A1/ABCB1/SLC17A7/SLC6A6/PLA2G4F/ATP8B1/MFSD12/SLC26A2/SLC16A10/ACACB/SLC25A15/PLA2G3/PPARG/SLC7A11/SLC6A8/TTYH3/TRPV1/SLC5A6/SLC1A4/ABCD3/FABP2/LRRC8E/FOLR1/ABCC2/SLC16A3/SLC13A2/SLC16A9/AKR1C4/ABCC1/SLC13A3/PIANP/SLC19A1/SLC25A22/SLC25A29/PLA2G2D/DRD2/ABAT/SLC25A32/CRABP2/CD36/SLC27A5/SLCO1B1/KCNK1/ABCC3/ABCC8/SLC46A1/KCNJ10/SLC6A7/FABP4/SLC26A9/SLCO1C1/SLC25A18/SLCO1A2/NR0B2/RBP1/THBS1/SLC23A1/ACSL4/PLA2G10/NMUR2/ADORA2A/SLC10A2/SLC38A3/AVPR1B/ATP1A2/AGXT/STXBP1/FOLR2/PLA2G12B/SLC6A20/RBP2/ABCD2/RGS4/CASR/FGF19/PMP2/SLC6A12/HTR1B/SLC22A2/CLTRN/SLC11A1/PTGS2/SLC16A12/SLC29A4/LEP/IL1A/SLC13A5/FOLR3/SYT4/PLA2G2A/SLC7A10/SLC7A14/FABP12/SLC6A15/PLA2G5/SLC25A21/NPY5R/DRD4/SLCO1B3-SLCO1B7/SLC32A1",142
