"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005539","glycosaminoglycan binding","106/4676","242/18639",0.43801652892562,1.7459773487264,6.7593876713184,1.38749386816436e-10,1.91196655033049e-07,1.59050612887473e-07,"CEMIP/REG1A/COL11A1/REG1B/ACAN/REG3A/CD44/PTPRF/LGR6/HMMR/PDCD5/PPIA/PODXL2/CLEC3B/ZNF146/AOC1/LIPG/BMP7/CCN4/FGFR4/COMP/CCL23/LXN/GFRA2/C1QBP/CCN6/BMP4/ADGRG1/STAB2/PCOLCE2/CXCL6/PGF/LIPH/STAB1/CXCL11/PCSK6/PRELP/PGLYRP2/LTF/PF4/BGN/CCN5/SULF1/NAV2/PTN/ADA2/TGFBR3L/SPOCK2/EXTL2/PLA2G2D/TMEM184A/GREM2/TNXB/SFRP1/CXCL10/REG4/AMBP/ZG16/KNG1/TNFRSF11B/SERPIND1/SLIT3/FGFRL1/FGFR2/APOB/THBS1/RSPO1/SERPINE2/TNFAIP6/HABP2/ANOS1/EPYC/LYVE1/NOD2/VIT/CTSG/DCN/ALK/SMOC2/APLP1/JCHAIN/VCAN/LIPC/SMOC1/PGLYRP4/CEL/PGLYRP3/F2/CCDC80/ITIH2/PF4V1/FGFBP1/RSPO4/CCL7/CXCL8/HAPLN1/PTPRS/CXCL13/SPOCK3/RNASE7/ECM2/ANGPTL3/IGHM/REG3G/ELANE/LIPI",106
"GO:0015291","secondary active transmembrane transporter activity","120/4676","287/18639",0.418118466898955,1.6666616990012,6.58646349028234,3.16132626786076e-10,2.17815379855607e-07,1.81193910826335e-07,"SLC25A23/SLC7A5/SLC35D3/SLCO1B3/SLC38A5/SLC39A10/CHP1/SLC12A2/SLC36A1/LETM1/SLC22A5/SLC1A1/SLC9A1/SLC4A11/SLC22A4/SLC20A2/SLCO2A1/SLC28A3/SLC12A8/SLC11A2/SLC25A19/SLC35D2/SLC6A9/SLC30A4/SLC17A5/SLC5A11/SLCO5A1/SLC2A13/SLCO2B1/SLC35D1/SLC26A3/SLC39A14/SLC17A8/SLC22A11/SLC15A1/SLC47A2/SLC17A4/SLCO4A1/SLC4A2/SLC17A7/SLC6A6/MFSD12/SLC20A1/SLC26A2/SLC16A10/SLC25A15/SLC46A3/MFSD2B/SLC7A11/SLC6A8/SLC37A1/SLC5A6/SLC6A19/SLC1A4/SLC9A7/SLC4A9/SLC9A3/SLC4A4/SLC45A2/SLC16A3/SLC13A2/SLC16A9/SLC17A1/SLC25A25/SLC35E4/SLC13A3/SLC19A1/SLC25A22/SLC5A2/SLC25A24/SLC37A2/SLC6A4/SLC46A2/SLCO1B1/SLC17A9/CDH17/SLC9A9/SLC46A1/SLC30A10/SLC6A7/SLC9A2/SLC4A8/SLC26A9/SLCO1C1/SLC25A18/SLCO1A2/SLC67A1/CLCN4/SLC24A2/SLCO4C1/SLC23A1/SLC10A2/SLC29A1/SLC38A3/SLC6A20/SLC8A3/SLC6A16/SLC30A2/SLC6A18/SLC39A12/SLC44A4/SLC12A3/SLC6A12/SLC4A1/SLC34A3/SLC4A3/SLC11A1/SLC16A12/SLC13A5/SLC9A4/SLC17A3/SLC6A15/SLC5A7/SLC25A21/SLC18A3/SLC44A5/SLC13A1/SLCO1B3-SLCO1B7/SLC30A8/SLC32A1",120
"GO:0008514","organic anion transmembrane transporter activity","113/4676","269/18639",0.420074349442379,1.67445804090173,6.4479852374082,7.41765997717736e-10,3.4037308014073e-07,2.83145889751169e-07,"GRIN2D/SLC25A23/SLC7A5/SLC35D3/SLCO1B3/SLC38A5/SLC39A10/SLC36A1/BEST4/NHERF1/SLC1A1/SLC51B/MPC1/CEACAM1/ABCG2/SLC4A11/SLC7A1/SLCO2A1/SLC25A19/SLC35D2/SLC22A3/FABP1/SLC6A9/GRIN2B/SLC43A1/SLC17A5/SLC51A/ABCB11/SLCO5A1/SLCO2B1/SLC35D1/SLC26A3/SLC39A14/SLC17A8/SFXN1/SLC22A11/SLCO4A1/SLC4A2/ABCB1/SLC17A7/SLC6A6/MFSD12/SLC26A2/SLC16A10/SLC25A15/SLC7A11/SLC6A8/SLC37A1/SLC5A6/SLC1A4/ABCD3/SLC4A9/FABP2/SLC4A4/ABCC2/SLC16A3/SLC13A2/SLC16A9/SLC25A25/AKR1C4/ABCC1/SLC13A3/SLC19A1/SLC25A22/SLC25A24/GRIN3A/SLC25A29/SLC37A2/SLC46A2/SLC25A32/CD36/SLC27A5/SLCO1B1/SLC17A9/ABCC3/SLC46A1/SLC6A7/FABP4/SLC4A8/SLC26A9/SLCO1C1/SLC25A18/SLCO1A2/BEST2/SLCO4C1/SLC23A1/GRIA4/SLC10A2/SLC38A3/GRIK2/GRIK3/SLC6A20/SLC2A14/GRIA3/ABCD2/SLC39A12/SLC52A1/SLC44A4/SLC6A12/SLC22A2/SLC4A1/SLC4A3/SLC16A12/GRIN2A/SLC13A5/GRIA1/SLC7A10/SLC7A14/SLC17A3/SLC6A15/SLC25A21/SLCO1B3-SLCO1B7/SLC32A1",113
"GO:0015081","sodium ion transmembrane transporter activity","77/4676","164/18639",0.469512195121951,1.87152219950343,6.48717614504577,9.88020551932454e-10,3.4037308014073e-07,2.83145889751169e-07,"SLC38A5/CHP1/SLC12A2/CNNM4/SLC1A1/SLC9A1/ASIC1/SLC4A11/SLC20A2/MCOLN1/SLC28A3/SLC6A9/SLC5A11/SCN4B/TRPV3/SLC17A8/SLC17A4/SLC17A7/SLC6A6/SLC20A1/ATP1A1/SCNN1A/SLC6A8/SLC5A6/SCNN1B/SLC9A7/SLC4A9/TRPM4/SLC9A3/SLC4A4/SLC13A2/CNGA1/SLC17A1/SCNN1G/SLC13A3/SLC5A2/SLC6A4/KCNK3/KCNK1/SLC9A9/SLC6A7/SLC9A2/SLC4A8/CNGB1/ATP12A/SLC24A2/SLC23A1/KCNK9/SLC10A2/HCN4/SLC29A1/SLC38A3/ATP1A2/GRIK2/GRIK3/SLC6A20/SCN9A/SLC8A3/HCN1/SLC6A18/CNGA3/SCN2B/SLC12A3/SLC6A12/MCOLN3/SCN11A/SLC34A3/ATP1A4/SCN7A/SLC13A5/SLC9A4/SCN4A/SLC17A3/SLC6A15/SLC5A7/SLC13A1/SCN1A",77
"GO:0003823","antigen binding","80/4676","174/18639",0.459770114942529,1.83268930120055,6.38602315262585,1.6170454020617e-09,4.45657712808204e-07,3.70728935335829e-07,"SLC7A5/CD1D/TRGV3/CD1C/CD209/TRGV9/SLAMF1/KLRD1/HLA-H/B2M/IGLL5/IGKV5-2/IGLV2-11/IGLC7/IGHV7-81/IGKV2D-28/IGLV2-8/IGLV7-43/HLA-E/IGHA1/IGHA2/IGLC2/TRAV19/JCHAIN/IGLC3/IGLC6/IGLV2-14/FCN3/IGKC/IGHV3-7/IGLV1-47/IGLL1/HLA-B/IGKV2-30/CLEC4M/IGHV3-11/IGHV3-73/IGKV1-16/IGKV1D-12/IGLV1-40/IGHV3-72/IGKV4-1/IGLV3-19/IGHV6-1/HLA-A/TRAV8-4/HLA-C/IGLV6-57/IGLV1-51/IGHG1/IGLV1-44/HLA-G/IGHV4-34/IGHV7-4-1/TRAV12-1/IGHV1-18/IGHV2-5/IGHV3-74/IGLV3-27/IGLV2-23/HLA-DRB5/GP2/IGHM/TRAV29DV5/IGHV1-69D/IGHV4-59/HLA-DRB1/IGHV4-39/IGHV3-64D/HLA-DMB/IGHV3-66/IGHV2-26/IGHV1-69/IGHV3-43/IGHV3-64/IGHV4-4/IGHV3-49/TRBV7-9/HLA-DQB1/IGHV4-28",80
"GO:0046873","metal ion transmembrane transporter activity","169/4676","450/18639",0.375555555555556,1.49700171086399,6.17599968365481,2.16433692122926e-09,4.9707604624232e-07,4.13502264424327e-07,"GRIN2D/CNNM2/SLC38A5/SLC39A10/CHP1/SLC12A2/TMEM37/LETM1/P2RX4/CNNM4/KCNE3/SLC1A1/SLC9A1/TMBIM1/ASIC1/SLC4A11/SLC20A2/MCOLN1/KCNN4/KCNH8/SLC28A3/SLC12A8/SLC11A2/PSEN1/SLC6A9/SLC30A4/GRIN2B/CACNA1A/CACNG8/SLC5A11/SCN4B/CACNA1D/TMEM94/SLC39A14/TRPV3/KCNK5/SLC17A8/TMCO1/SLC31A2/SLC41A2/TRPM6/SLC17A4/SLC17A7/SLC6A6/KCNG1/SLC20A1/KCNJ14/ATP1A1/SLC46A3/CACNB1/SCNN1A/ATP2A3/SLC6A8/TRPV1/SLC5A6/SCNN1B/SLC9A7/SLC4A9/ATP2B1/TRPM4/SLC9A3/SLC4A4/PKD1L2/KCNQ1/KCNIP2/SLC13A2/FKBP1B/SLC39A2/CNGA1/KCNK6/SLC17A1/CACNG4/SCNN1G/CLDN16/SLC13A3/SLC5A2/GRIN3A/SLC6A4/NIPAL1/TRPC7/MCOLN2/KCNK3/NALF2/KCNK1/ABCC8/SLC9A9/KCNJ10/SLC30A10/SLC6A7/SLC9A2/KCNJ11/SLC4A8/CNGB1/ATP12A/TRPV4/P2RX1/SLC24A2/SLC23A1/FXYD4/KCNK9/SLC10A2/HCN4/SLC29A1/SLC38A3/KCNK12/KCNV2/KCNA3/ATP1A2/GRIK2/KCNQ3/GRIK3/SLC6A20/SCN9A/KCNIP4/TSPOAP1/GRIA3/RYR2/SLC8A3/KCNS1/HCN1/KCNMB4/SLC30A2/RYR1/CACNG5/SLC6A18/SLC39A12/CNGA3/KCNQ5/SCN2B/CHRNA7/SLC12A3/SLC6A12/KCNA6/HTR1B/KCNH4/MCOLN3/SCN11A/KCNG3/KCNJ9/KCNA5/SLC34A3/NALF1/CACNA1E/CALHM3/ABCC9/SLC11A1/KCNJ3/TMC2/KCNT1/KCNF1/KCNJ6/GRIN2A/ATP1A4/SCN7A/SLC13A5/SLC9A4/GRIA1/SCN4A/KCNB2/SLC17A3/SLC6A15/SLC5A7/KCNV1/KCNIP1/TRPM8/SLC13A1/SLC30A8/KCNA7/SCN1A",169
"GO:0005342","organic acid transmembrane transporter activity","83/4676","189/18639",0.439153439153439,1.75050918571021,6.00117463317868,1.15841458546672e-08,2.2804218553902e-06,1.89701275725302e-06,"GRIN2D/SLC7A5/SLCO1B3/SLC38A5/SLC36A1/NHERF1/SLC1A1/SLC51B/MPC1/CEACAM1/ABCG2/SLC7A1/SLC35D2/FABP1/SLC6A9/GRIN2B/SLC43A1/SLC17A5/SLC51A/ABCB11/SLCO2B1/SLC35D1/SLC26A3/SLC17A8/SFXN1/ABCB1/SLC17A7/SLC6A6/MFSD12/SLC26A2/SLC16A10/SLC25A15/SLC7A11/SLC6A8/SLC5A6/SLC1A4/ABCD3/FABP2/ABCC2/SLC16A3/SLC13A2/SLC16A9/AKR1C4/ABCC1/SLC13A3/SLC19A1/SLC25A22/GRIN3A/SLC25A29/SLC25A32/CD36/SLC27A5/SLCO1B1/ABCC3/SLC46A1/SLC6A7/FABP4/SLC26A9/SLCO1C1/SLC25A18/SLCO1A2/SLC23A1/GRIA4/SLC10A2/SLC38A3/GRIK2/GRIK3/SLC6A20/GRIA3/ABCD2/SLC6A12/SLC22A2/SLC16A12/GRIN2A/SLC29A4/SLC13A5/GRIA1/SLC7A10/SLC7A14/SLC6A15/SLC25A21/SLCO1B3-SLCO1B7/SLC32A1",83
"GO:0046943","carboxylic acid transmembrane transporter activity","82/4676","188/18639",0.436170212765957,1.73861774930382,5.89028415008748,2.06036755592425e-08,3.54898311507952e-06,2.95228982684409e-06,"GRIN2D/SLC7A5/SLCO1B3/SLC38A5/SLC36A1/NHERF1/SLC1A1/SLC51B/MPC1/CEACAM1/ABCG2/SLC7A1/SLC35D2/FABP1/SLC6A9/GRIN2B/SLC43A1/SLC17A5/SLC51A/ABCB11/SLCO2B1/SLC35D1/SLC26A3/SLC17A8/SFXN1/ABCB1/SLC17A7/SLC6A6/MFSD12/SLC26A2/SLC16A10/SLC25A15/SLC7A11/SLC6A8/SLC5A6/SLC1A4/ABCD3/FABP2/ABCC2/SLC16A3/SLC13A2/SLC16A9/AKR1C4/ABCC1/SLC13A3/SLC19A1/SLC25A22/GRIN3A/SLC25A29/SLC25A32/CD36/SLC27A5/SLCO1B1/ABCC3/SLC46A1/SLC6A7/FABP4/SLC26A9/SLCO1C1/SLC25A18/SLCO1A2/SLC23A1/GRIA4/SLC10A2/SLC38A3/GRIK2/GRIK3/SLC6A20/GRIA3/ABCD2/SLC6A12/SLC22A2/SLC16A12/GRIN2A/SLC13A5/GRIA1/SLC7A10/SLC7A14/SLC6A15/SLC25A21/SLCO1B3-SLCO1B7/SLC32A1",82
"GO:0022804","active transmembrane transporter activity","166/4676","457/18639",0.363238512035011,1.4479047531695,5.61009842195277,4.44291248214517e-08,6.80259266710671e-06,5.65886747725858e-06,"SLC25A23/SLC7A5/ATP6V0D1/SLC35D3/SLCO1B3/CYB561A3/ATP6V1C2/SLC38A5/SLC39A10/CHP1/SLC12A2/SLC36A1/TOMM20/LETM1/SLC22A5/SLC1A1/SLC9A1/ABCG2/SLC4A11/SLC22A4/SLC20A2/SLCO2A1/SLC28A3/SLC12A8/SLC11A2/SLC25A19/SLC35D2/SLC22A3/SLC6A9/SLC30A4/SLC17A5/ABCB11/SLC5A11/SLCO5A1/SLC2A13/SLCO2B1/SLC35D1/ABCG1/TMEM94/SLC26A3/SLC39A14/SLC17A8/SLC22A11/SLC15A1/ATP6V1E2/SLC47A2/SLC17A4/SLCO4A1/SLC4A2/ABCB1/SLC17A7/SLC6A6/MFSD12/SLC20A1/SLC26A2/SLC16A10/ATP1A1/SLC25A15/SLC46A3/MFSD2B/ATP2A3/SLC7A11/SLC6A8/ABCA10/SLC37A1/SLC5A6/SLC6A19/SLC1A4/SLC9A7/ABCD3/ABCA9/SLC4A9/ATP2B1/SLC9A3/ABCB6/SLC4A4/ABCA8/SLC45A2/ABCC2/SLC16A3/SLC13A2/SLC16A9/SLC17A1/SLC25A25/ABCC1/SLC35E4/SLC13A3/SLC19A1/SLC25A22/SLC5A2/SLC25A24/SLC37A2/SLC6A4/SLC46A2/SLCO1B1/SLC17A9/ABCC3/CDH17/ABCC8/SLC9A9/SLC46A1/SLC30A10/SLC6A7/SLC9A2/ABCA5/KCNJ11/SLC4A8/ATP6V0D2/SLC26A9/SLCO1C1/SLC25A18/SLCO1A2/ATP12A/SLC67A1/CLCN4/SLC24A2/ATP8A1/SLCO4C1/SLC23A1/ABCA13/ABCG5/SLC10A2/ABCA12/CYBRD1/SLC29A1/SLC38A3/ABCB5/ABCA6/ATP1A2/SLC6A20/SLC8A3/ABCD2/SLC6A16/SLC30A2/SLC6A18/SLC39A12/SLC44A4/SLC12A3/SLC6A12/SLC22A2/SLC4A1/SLC34A3/SLC4A3/ABCG8/ABCC9/SLC11A1/ATP13A4/SLC16A12/ATP1A4/SLC29A4/SLC13A5/SLC9A4/SLC17A3/ABCA4/SLC6A15/SLC5A7/ATP6V0A4/SLC25A21/SLC18A3/SLC44A5/ATP6V1B1/SLC13A1/SLCO1B3-SLCO1B7/ATP13A5/SLC30A8/SLC32A1",166
"GO:0005201","extracellular matrix structural constituent","74/4676","168/18639",0.44047619047619,1.75578180373946,5.69447124469227,6.05649181295244e-08,8.34584571824847e-06,6.94265219400548e-06,"COL11A1/COL10A1/ACAN/ESM1/ZP3/CTHRC1/TGFBI/LAMA1/HMCN2/COMP/COL7A1/FGL2/LAMA3/SRPX/COL27A1/MFAP4/PRELP/COL17A1/THSD4/FBLN1/COL1A1/COL4A6/FBLN2/ABI3BP/CHI3L1/BGN/CILP/COL12A1/NPNT/COL2A1/AMELX/MFAP2/DPT/EFEMP1/TNXB/SBSPON/FGB/COL9A3/MXRA5/MFAP5/EMILIN3/SPON1/MATN2/OGN/COL14A1/THBS1/ANOS1/COL4A1/EDIL3/MUC17/SRPX2/MATN3/COL9A1/DCN/COL5A2/FGA/COL8A1/LAMA5/VCAN/SPARC/FBLN5/MUC5AC/PRG4/COL3A1/COL22A1/MMRN1/ADIPOQ/COL19A1/HAPLN1/PODN/MGP/COL1A2/ENAM/TNC",74
