"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002443","leukocyte mediated immunity","137/2307","483/18805",0.283643892339545,2.31206042281974,10.9238123307408,5.15224060521387e-22,3.01457597811063e-18,2.32989743578934e-18,"IL6R/PRKCD/SECTM1/CD7/SMAD7/FCER2/MYD88/CEACAM1/C8G/GZMM/TRAF3IP2/IL4R/VAMP2/RNF19B/VAMP8/CD19/CD160/SASH3/SH2D1B/TLR3/RIPK3/FCMR/SPN/TICAM1/IL2RB/CR2/F2RL1/CD1D/CORO1A/GPR15LG/CRK/CD177/DNASE1L3/SLA2/FZD5/PRKCZ/KLRB1/PIK3CD/CD96/DAO/PIK3R6/PLCG2/CD8A/IL18RAP/SCNN1B/CD1C/CHGA/TRPM4/LGALS9/CD27/BCL10/STAP1/UNC13D/WAS/TBX21/IL18/RSAD2/RIGI/SLAMF7/SLAMF1/SCIMP/C6/C1QB/BTK/CD2/KLRD1/C1QC/RAB44/C1QA/HLA-H/B2M/CD40LG/IGLL5/TIGIT/AICDA/IGLC7/CD226/CLU/CRTAM/CSF2RB/KLRK1/KLRC4-KLRK1/CTSG/IL23R/HLA-E/PTGDS/IGHA1/IGHA2/IGLC2/CX3CR1/IGLC3/IGLC6/CCR2/KLRC1/C3/IGKC/KLRC3/IGHV3-7/CR1/IGLL1/POMC/HLA-B/ARG1/MICA/IGHV3-11/IGHV3-73/SCN11A/C7/IGHV3-72/IGHV6-1/LILRB1/HLA-A/FCER1A/HLA-C/LEP/KLRC4/IL2/HLA-G/IGHV4-34/IGHV7-4-1/IGHV1-18/IGHV2-5/IGHV3-74/IGHV1-69D/IGHV4-59/HLA-DRB1/IGHV4-39/ELANE/IGHV3-64D/IGHV3-66/IGHV2-26/IGHV1-69/IGHV3-43/IGHV3-64/IGHV4-4/IGHV3-49/IGHV4-28",137
"GO:0002449","lymphocyte mediated immunity","113/2307","384/18805",0.294270833333333,2.39868358076868,10.3552778556132,1.0599292275353e-19,3.10082295515453e-16,2.39655576920614e-16,"PRKCD/SECTM1/CD7/SMAD7/FCER2/MYD88/CEACAM1/C8G/GZMM/TRAF3IP2/IL4R/RNF19B/CD19/CD160/SASH3/SH2D1B/RIPK3/FCMR/SPN/IL2RB/CR2/CD1D/CORO1A/CRK/SLA2/FZD5/PRKCZ/KLRB1/CD96/PIK3R6/CD8A/IL18RAP/CD1C/TRPM4/LGALS9/CD27/BCL10/UNC13D/WAS/TBX21/IL18/RSAD2/SLAMF7/SLAMF1/C6/C1QB/BTK/CD2/KLRD1/C1QC/C1QA/HLA-H/B2M/CD40LG/IGLL5/TIGIT/AICDA/IGLC7/CD226/CLU/CRTAM/CSF2RB/KLRK1/KLRC4-KLRK1/IL23R/HLA-E/IGHA1/IGHA2/IGLC2/IGLC3/IGLC6/CCR2/KLRC1/C3/IGKC/KLRC3/IGHV3-7/CR1/IGLL1/HLA-B/ARG1/MICA/IGHV3-11/IGHV3-73/C7/IGHV3-72/IGHV6-1/LILRB1/HLA-A/FCER1A/HLA-C/LEP/KLRC4/IL2/HLA-G/IGHV4-34/IGHV7-4-1/IGHV1-18/IGHV2-5/IGHV3-74/IGHV1-69D/IGHV4-59/HLA-DRB1/IGHV4-39/IGHV3-64D/IGHV3-66/IGHV2-26/IGHV1-69/IGHV3-43/IGHV3-64/IGHV4-4/IGHV3-49/IGHV4-28",113
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","105/2307","396/18805",0.265151515151515,2.16132390222117,8.73411946135629,5.82620049656368e-15,1.13630330351314e-11,8.78223064324125e-12,"IL6R/ZBTB7B/PRKCD/SECTM1/CD7/SMAD7/FCER2/MYD88/CEACAM1/C8G/GZMM/TRAF3IP2/IL4R/LY9/CD19/SASH3/RIPK3/FCMR/SPN/IL2RB/CR2/CD1D/SLA2/FZD5/PRKCZ/RELB/CD8A/EBI3/CD1C/IRF4/TRPM4/CD27/BCL10/UNC13D/WAS/CCL19/KLHL6/TBX21/IL18/RSAD2/SLAMF1/C6/BACH2/C1QB/BTK/KLRD1/C1QC/C1QA/HLA-H/B2M/CD40LG/IGLL5/AICDA/IGLC7/CD226/CLU/CSF2RB/IL23R/HLA-E/IGHA1/IGHA2/IGLC2/IGLC3/IL27/IGLC6/CCR2/KLRC1/C3/IGKC/IGHV3-7/CR1/IGLL1/HLA-B/ARG1/MICA/IGHV3-11/IGHV3-73/C7/IGHV3-72/IGHV6-1/CXCL13/LILRB1/HLA-A/FCER1A/HLA-C/IL2/HLA-G/IGHV4-34/IGHV7-4-1/IGHV1-18/IGHV2-5/IGHV3-74/IGHV1-69D/IGHV4-59/HLA-DRB1/IGHV4-39/IGHV3-64D/IGHV3-66/IGHV2-26/IGHV1-69/IGHV3-43/IGHV3-64/IGHV4-4/IGHV3-49/IGHV4-28",105
"GO:0042391","regulation of membrane potential","116/2307","463/18805",0.250539956803456,2.04222101763718,8.49102748805239,1.73937877548112e-14,2.54427630383501e-11,1.96641347880708e-11,"P2RX2/PINK1/GNA11/CNR2/GPD1L/PTK2B/P2RX4/SMAD7/CLCN2/SLC9A1/CLN3/ATP1B3/PSEN1/SRI/WWP2/DSC2/GPER1/SCN4B/PID1/SLC26A3/KCNK5/ANK3/MYOC/MYH14/NEDD4L/KCNG1/PRKCZ/ATP1A1/AKAP9/TRPV1/MPP2/CHRNA1/TRPM4/LTF/SLC4A4/KCNIP2/FKBP1B/FXYD1/TMEM108/KCNK6/GRIN3A/USP53/DSG2/ABAT/SEZ6/CD36/UCN3/KCNK3/KCNK1/ABCC8/KCNJ10/B2M/AKAP7/CNGB1/RIMS3/ADCY10/BEST2/P2RX1/NLGN4X/ADRB1/GRIA4/ADORA2A/HCN4/P2RX5/ABCB5/KCNA3/DCN/ATP1A2/GRIK2/P2RX6/HTR3A/GRIK3/SCN9A/GABRA2/GRIA3/SLC8A3/RELN/CASR/POPDC2/PHOX2B/FHL1/FGF13/ANK2/SCN2B/INSYN1/CHRNA7/KCNA6/SCN11A/KCNG3/KCNJ9/KCNA5/HTR3E/ATP1B2/NRXN1/KCNF1/CTNNA3/GLRA2/GRIN2A/TACR1/ATP1A4/SCN7A/CNR1/GRIA1/GBA1/ADRA1A/SCN4A/RIMS4/KCNB2/CUX2/CASQ2/NETO1/IGSF11/KCNIP1/CHCHD10/CHRNA4/MAPT",116
"GO:0006814","sodium ion transport","74/2307","252/18805",0.293650793650794,2.39362946450073,8.32863417632063,2.62950111031786e-13,3.07704219929395e-10,2.37817616208958e-10,"CHP1/GPD1L/P2RX4/CNNM4/NHERF1/SLC22A5/SLC9A1/SLC22A4/SLC20A2/MCOLN1/SGK1/ATP1B3/SLC6A9/SLC5A11/SCN4B/TRPV3/CNKSR3/SLC17A8/FXYD3/ANK3/SLC17A4/SLC17A7/NEDD4L/PRSS8/SLC20A1/ATP1A1/SCNN1A/SLC6A8/SCNN1B/SLC6A19/SLC4A9/TRPM4/SLC9A3/SLC4A4/SLC13A2/FXYD1/CNGA1/SLC17A1/SCNN1G/KCNK3/KCNK1/SLC9A9/SLC6A7/SLC9A2/CLCNKB/CNGB1/ATP12A/SLC23A1/PER1/OSR1/SLC10A2/HCN4/ATP1A2/SCN9A/SLC8A3/SLC6A16/SLC6A18/FGF13/CNGA3/SCN2B/SLC12A3/SLC6A12/SCN11A/ATP1B2/SPTBN4/GRIN2A/ATP1A4/SCN7A/CNTN1/SCN4A/SLC17A3/SLC6A15/SLC5A7/SLC13A1",74
"GO:0016042","lipid catabolic process","92/2307","350/18805",0.262857142857143,2.1426218341693,8.06887123524127,4.91782806988564e-13,4.79570200615014e-10,3.70648936635591e-10,"SMPD1/PLCD1/ACADS/PRDX6/FUCA1/ACAA1/PLPP1/CPT2/ACAA2/ACOX1/PPARD/NAAA/ETFDH/PRKCD/CIDEC/PLCD3/MGLL/ABHD6/PPARA/PAFAH2/SIRT6/GBA2/SESN2/CPT1A/LPIN2/ABHD3/AKR1B10/GDPD3/PLCE1/FABP1/CRAT/HPGD/CYP4F12/ABCB11/ABHD4/ACAT1/SMPD3/HSD17B11/ACOXL/PLD1/ABHD5/ACOT8/CYP3A4/PLA2G4F/PLAAT2/LIPH/ECHDC2/SGPP2/PNPLA2/PCK2/ASPG/PNPLA7/ACACB/PLIN1/PCK1/PLCG2/ENPP6/CYP27A1/DPEP2/ADTRP/ABCD3/ADRA2A/CYP26B1/CIDEA/PLPP3/SORL1/PLB1/PLA2G2D/AKR1C3/GBA3/PLAAT4/NEU4/BCO1/APOB/AMACR/GPIHBP1/PLA2G10/ACER2/ALK/PLA2G12B/LIPC/ABCD2/ADIPOQ/LRCOL1/LEP/PNLIPRP2/CNR1/GBA1/PLA2G2A/PLCD4/PLA2G5/ACADL",92
"GO:0015711","organic anion transport","112/2307","469/18805",0.238805970149254,1.94657402195783,7.76286388923717,1.48864121889235e-12,1.15712660775201e-09,8.94316924125008e-10,"GLTP/SLC25A23/SLC25A20/CPT2/PPARD/SLC36A1/BEST4/P2RX4/NHERF1/SLC1A1/SLC51B/MPC1/CEACAM1/ABCG2/PPARA/SLC2A5/SLCO2A1/GIPC1/CLN3/BDKRB2/CPT1A/SLC35D2/PSEN1/CA4/FABP1/SLC6A9/CPTP/SLC17A5/SLC51A/ABCB11/APBA1/SLCO2B1/SLC35D1/SLC26A3/SLC39A14/SLC17A8/SFXN1/SLC17A4/ABCB1/SLC17A7/PLA2G4F/ATP8B1/SLC26A2/ACACB/PPARG/SLC6A8/TRPV1/SLC37A1/ABCD3/SLC4A9/FABP2/SLC4A4/SLC16A3/SLC13A2/SLC16A9/SLC17A1/SLC25A25/PIANP/SLC25A24/SLC37A2/PLA2G2D/SLC46A2/ABAT/CD36/KCNK1/ABCC3/ABCC8/SLC46A1/KCNJ10/SLC6A7/FABP4/SLCO1C1/SLC25A18/ADCY10/BEST2/SLCO4C1/THBS1/SLC23A1/PLA2G10/ADORA2A/SLC10A2/G6PC1/AVPR1B/ATP1A2/AGXT/FOLR2/PLA2G12B/SLC2A14/ABCD2/CASR/CR1/SLC39A12/SLC52A1/SLC44A4/PMP2/SLC6A12/SLC4A1/SLC16A12/LEP/FOLR3/SLC2A7/SYT4/PLA2G2A/SLC7A10/SLC7A14/FABP12/SLC17A3/SLC6A15/PLA2G5/NPY5R/RHAG/SLC32A1",112
"GO:0035725","sodium ion transmembrane transport","60/2307","190/18805",0.315789473684211,2.57408801587845,8.1546919819709,1.58212491232543e-12,1.15712660775201e-09,8.94316924125008e-10,"CHP1/CNNM4/SLC9A1/SLC20A2/MCOLN1/ATP1B3/SLC6A9/SLC5A11/SCN4B/TRPV3/SLC17A8/FXYD3/ANK3/SLC17A4/SLC17A7/NEDD4L/SLC20A1/ATP1A1/SCNN1A/SLC6A8/SCNN1B/SLC6A19/SLC4A9/TRPM4/SLC9A3/SLC4A4/SLC13A2/FXYD1/CNGA1/SLC17A1/SCNN1G/KCNK3/KCNK1/SLC9A9/SLC6A7/SLC9A2/CNGB1/ATP12A/SLC23A1/OSR1/HCN4/ATP1A2/SCN9A/SLC8A3/SLC6A16/SLC6A18/FGF13/CNGA3/SCN2B/SLC12A3/SLC6A12/SCN11A/ATP1B2/GRIN2A/ATP1A4/SCN7A/SCN4A/SLC17A3/SLC6A15/SLC13A1",60
"GO:0019724","B cell mediated immunity","62/2307","208/18805",0.298076923076923,2.42970807909039,7.75337629566374,1.10653074791471e-11,7.19367934005442e-09,5.55983168776796e-09,"PRKCD/FCER2/MYD88/C8G/TRAF3IP2/IL4R/CD19/FCMR/IL2RB/CR2/SLA2/CD27/BCL10/TBX21/C6/C1QB/BTK/C1QC/C1QA/CD40LG/IGLL5/AICDA/IGLC7/CD226/CLU/CSF2RB/HLA-E/IGHA1/IGHA2/IGLC2/IGLC3/IGLC6/C3/IGKC/IGHV3-7/CR1/IGLL1/IGHV3-11/IGHV3-73/C7/IGHV3-72/IGHV6-1/FCER1A/IL2/HLA-G/IGHV4-34/IGHV7-4-1/IGHV1-18/IGHV2-5/IGHV3-74/IGHV1-69D/IGHV4-59/IGHV4-39/IGHV3-64D/IGHV3-66/IGHV2-26/IGHV1-69/IGHV3-43/IGHV3-64/IGHV4-4/IGHV3-49/IGHV4-28",62
"GO:0002697","regulation of immune effector process","99/2307","414/18805",0.239130434782609,1.9492188236181,7.30292951829286,2.7603902796741e-11,1.61510435263731e-08,1.24827754120841e-08,"ZBTB7B/LITAF/SECTM1/CD7/APPL2/SMAD7/FCER2/MYD88/CEACAM1/CD22/IL4R/LGALS3/VAMP8/GRN/CD160/SASH3/SH2D1B/TLR3/INAVA/RIPK3/SPN/FGL2/TICAM1/CD244/CR2/F2RL1/CD1D/CRK/CD177/DNASE1L3/FZD5/DDX60/PRKCZ/FCRL3/KLRB1/CD96/PCK1/PIK3R6/PLCG2/IL18RAP/PGLYRP2/CD1C/IRF4/TRPM4/LGALS9/IL2RG/BCL10/STAP1/UNC13D/NCF1/WAS/CCL19/TLR7/TBX21/IL18/RSAD2/RIGI/SLAMF1/SCIMP/MZB1/CD36/BTK/KLRD1/HLA-H/SPINK5/B2M/CD40LG/TIGIT/CD226/CRTAM/ENPP3/KLRK1/KLRC4-KLRK1/IL23R/HLA-E/CX3CR1/IL27/CCR2/KLRC1/C3/KLRC3/CR1/POMC/HLA-B/ARG1/MICA/RBP4/LILRB1/HLA-A/HLA-C/LEP/MASP1/KLRC4/TNFRSF14/IL2/HLA-G/HLA-DRB1/PLA2G5/HLA-DMB",99
